,player_name,pos,school,2nd_season,completions_2nd_year_stats_y_pred_gbf,attempts_2nd_year_stats_y_pred_gbf,passing_yards_2nd_year_stats_y_pred_gbf,passing_tds_2nd_year_stats_y_pred_gbf,interceptions_2nd_year_stats_y_pred_gbf,sacks_2nd_year_stats_y_pred_gbf,sack_yards_2nd_year_stats_y_pred_gbf,sack_fumbles_2nd_year_stats_y_pred_gbf,sack_fumbles_lost_2nd_year_stats_y_pred_gbf,passing_air_yards_2nd_year_stats_y_pred_gbf,passing_yards_after_catch_2nd_year_stats_y_pred_gbf,passing_first_downs_2nd_year_stats_y_pred_gbf,passing_epa_2nd_year_stats_y_pred_gbf,passing_2pt_conversions_2nd_year_stats_y_pred_gbf,pacr_2nd_year_stats_y_pred_gbf,dakota_2nd_year_stats_y_pred_gbf,carries_2nd_year_stats_y_pred_gbf,rushing_yards_2nd_year_stats_y_pred_gbf,rushing_tds_2nd_year_stats_y_pred_gbf,rushing_fumbles_2nd_year_stats_y_pred_gbf,rushing_fumbles_lost_2nd_year_stats_y_pred_gbf,rushing_first_downs_2nd_year_stats_y_pred_gbf,rushing_epa_2nd_year_stats_y_pred_gbf,rushing_2pt_conversions_2nd_year_stats_y_pred_gbf,receptions_2nd_year_stats_y_pred_gbf,targets_2nd_year_stats_y_pred_gbf,receiving_yards_2nd_year_stats_y_pred_gbf,receiving_tds_2nd_year_stats_y_pred_gbf,receiving_fumbles_2nd_year_stats_y_pred_gbf,receiving_fumbles_lost_2nd_year_stats_y_pred_gbf,receiving_air_yards_2nd_year_stats_y_pred_gbf,receiving_yards_after_catch_2nd_year_stats_y_pred_gbf,receiving_first_downs_2nd_year_stats_y_pred_gbf,receiving_epa_2nd_year_stats_y_pred_gbf,receiving_2pt_conversions_2nd_year_stats_y_pred_gbf,racr_2nd_year_stats_y_pred_gbf,target_share_2nd_year_stats_y_pred_gbf,air_yards_share_2nd_year_stats_y_pred_gbf,wopr_x_2nd_year_stats_y_pred_gbf,special_teams_tds_2nd_year_stats_y_pred_gbf,fantasy_points_2nd_year_stats_y_pred_gbf,fantasy_points_ppr_2nd_year_stats_y_pred_gbf,games_2nd_year_stats_y_pred_gbf,tgt_sh_2nd_year_stats_y_pred_gbf,ay_sh_2nd_year_stats_y_pred_gbf,yac_sh_2nd_year_stats_y_pred_gbf,wopr_y_2nd_year_stats_y_pred_gbf,ry_sh_2nd_year_stats_y_pred_gbf,rtd_sh_2nd_year_stats_y_pred_gbf,rfd_sh_2nd_year_stats_y_pred_gbf,rtdfd_sh_2nd_year_stats_y_pred_gbf,dom_2nd_year_stats_y_pred_gbf,w8dom_2nd_year_stats_y_pred_gbf,yptmpa_2nd_year_stats_y_pred_gbf,ppr_sh_2nd_year_stats_y_pred_gbf,scrimmage_yards,scrimmage_TDs,fantasy_points,fantasy_points/G
337,Isaiah Hodgins,WR,Oregon State,2021.0,-2.7677710665891896e-06,-6.391202636232389e-06,9.671796968062417e-10,0.0,0.0,1.027804087162881e-09,1.0121515594475633e-09,0.0,0.0,-5.3531900705118955e-05,-9.126727224849792e-06,-3.4618204314306647e-06,8.278052408486596e-05,0.0,1.6010794567997953e-09,0.0,-0.10998438304275818,-0.3364576731276613,0.0016534448251346345,1.977519571471712e-08,-5.47443329425869e-11,-0.02454286313401608,-0.04838113928573774,1.027804087162881e-09,1.023340928241647,2.040922726680285,13.50894105658774,0.10175907370509638,0.07019372522300289,0.012767061157428677,21.270095859448325,5.094469577135079,0.6657035446360537,0.3341707889122652,0.020076047439005748,0.31373698052462945,0.05591444566270915,0.07071416702210366,0.11241801679364233,-4.7851678579940665e-05,2.2199808238150935,3.2389348570998187,0.05450450487405267,0.004377160116958,0.003468133130686089,0.0028506659263710234,0.0062348568207149435,0.004508201746847919,0.003437300613213372,0.00556626417274259,0.004485273560332307,0.0037775490553527483,0.0041743135592423805,0.032044846315651465,0.0020263818846221263,13.17248338346008,0.103412518530231,2.6870134483370407,49.29892408978136
517,Anthony Richardson,QB,Florida,2024.0,64.86741894362906,67.73237120326027,717.6887270946768,15.759034588510882,9.492687196361874,28.719896245663673,165.68824799398865,2.90279220034758,0.762152409256774,827.2102411956877,337.6634579327148,23.939146394638627,5.657793032760724,0.35871993745562175,5.17589958159337,0.304010354004237,36.66515056090958,187.5556309097963,1.8870635951925836,4.583205775570092,0.42595097132706666,9.094232624169885,11.793382712305867,0.004900809487123414,0.32613110863274697,0.28976549056198164,-2.3293853235550794,1.282842471219615e-05,0.0,0.0,-2.5593675616255376,0.4313081042562361,2.5656849424392294e-05,-2.0764191260210985,1.282842471219615e-05,2.489913059185279,0.015374405061504066,-0.04774368399202716,0.02293314791228498,0.0,38.14472895795712,51.65444315539231,2.9285685486557926,0.0001559795788208864,-0.0009300365129645674,0.00042670494000916195,0.0009200077099052945,-0.001178688718198456,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,-0.0002476161287930066,-0.0006168953075389468,-0.0024712308905068645,0.11252022054716325,185.22624558624122,1.8870764236172959,102.30443409336364,34.93325575060252
426,Jermar Jefferson,RB,Oregon St.,2022.0,1.3620267722628366e-08,4.0860803167884965e-08,6.810133861096954e-07,1.3620267722628366e-08,0.0,0.0,0.0,0.0,0.0,5.311904411751038e-07,5.039499056804586e-07,1.3620267722628366e-08,1.6183545566833222e-08,0.0,5.238564509119543e-08,0.0,1.8803072811136694,9.736218630756788,0.01863941751687553,-0.012989375202497726,-0.01619479464242478,0.8170863629578077,-0.13512269480521238,0.00023782677752599022,0.021127686485536597,-0.2912327289723188,2.2808116280215573,0.049605378190598785,-0.0033298022294577885,-0.008533132774775756,0.4159982199179649,-3.613712106809348,0.06513992136974908,-0.22576312228533824,-0.0012186818327151075,-0.1455514621045964,-0.003164553228661653,0.0026192734059151818,-0.00037033134354961075,4.086080316788486e-08,1.6886895685411547,1.5822508751508306,0.06312983570571071,0.0015575140237742157,-0.0002702744173714885,0.0024937127592971836,0.003173645200750113,0.0012507808285586914,0.0008120464317086252,0.00045301626629693295,-2.983120063164294e-07,0.0005881947525992572,0.0008730504410171949,0.01651045983735398,0.002286446688581941,12.017030258778345,0.06824479570747431,2.10389597209999,33.32649211868093
553,Zach Evans,RB,Mississippi,2024.0,1.3620267722628366e-08,4.0860803167884965e-08,6.810133861652066e-07,1.3620267722628366e-08,0.0,0.0,0.0,0.0,0.0,5.311904411751038e-07,5.039499057359697e-07,1.3620267722628366e-08,1.6183545566833222e-08,0.0,5.238564508425654e-08,0.0,126.58812110881455,437.8853332464238,2.286619903609776,0.17733410936053468,0.0838705075022132,25.86521618945175,-3.0860933446926806,-0.0022772161653572885,7.08772323317514,14.016121404389937,114.22672124410651,0.6105666382822197,-0.004763304551455296,-0.023254696402463002,0.40089364016951623,172.69005926008802,3.881954457619211,-4.138375469891108,0.004182313017045472,2.8980131611956748,0.39093995586346947,0.022684919957898574,0.8307532777977559,4.086080316788486e-08,69.83722534253592,100.49874580694313,2.925746010624901,0.0371063351524463,0.004422115110459964,0.12002923042383912,0.032071279802681034,0.03389606624788666,0.008873273851302934,0.052215501497815855,0.043479891436721055,0.025975135790211667,0.04417202400471465,0.12966964073586376,0.12371920875885672,552.1120544905303,2.8971865418919958,90.77858510634084,31.0275002603359
221,Lamar Jackson,QB,Louisville,2019.0,265.37574437271456,403.17228778866445,3129.1804665688746,35.85148518436305,6.069932150470549,23.305732674283625,107.32402285261459,0.08052569625762614,0.036988245010687225,3569.031806946399,1365.9201474987935,161.18367572484203,142.1908238352004,0.017556080526625453,14.102019665758132,3.2134990722779775,175.41380701020447,1203.2975201196236,6.993447060741995,6.981370986182626,1.988344675535005,70.88582880887789,56.545628075425824,0.0005471224725934578,-0.0027709166463692953,-0.004266656222744097,0.0003682000920125041,1.282842471219615e-05,0.0,0.0,-0.0014451072995684145,0.00039768116607807885,2.5656849424392294e-05,0.0001214662759861715,1.282842471219615e-05,1.9242637068294243e-05,-4.37542107151027e-05,0.00014373109720436505,-3.830428653358375e-05,0.0,412.5771092684907,413.53269519323464,15.04104769859622,-7.277121919598808e-06,3.913004502087013e-07,5.71925293455202e-07,-1.5256476446618242e-06,2.580232079956649e-07,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,1.0886475452904741e-06,6.163217476237764e-07,1.8060968697064055e-06,0.2745913477350759,1203.2978883197156,6.993459889166707,445.19566937906075,29.59871401914448
524,Dorian Thompson-Robinson,QB,UCLA,2024.0,164.55316895067583,308.1451855560426,2097.382251113211,15.301856179676207,3.477110075257764,16.95309442923097,129.95748863326142,2.6414600508012764,1.163430708238097,2328.2341596882065,931.3358173737462,123.93385508236503,-31.93065437782269,0.46346862237851644,5.496244970240656,1.0789778073199474,15.004356095629227,116.10087295589712,1.4202598603953738,1.7814493474950772,0.6695915757040629,8.508706459891787,8.867132733316483,0.1076324838626694,0.008362411581139862,0.0060162579209470015,0.0003682000920125041,1.282842471219615e-05,0.0,0.0,0.5709699695305547,0.00039768116607807885,2.5656849424392294e-05,0.00011915097130765236,1.282842471219615e-05,1.9242637068294243e-05,-1.354026184147619e-05,-0.0005566555241519136,0.00427893579583423,0.0,106.26067897410779,129.91659838046536,5.904505430783894,-1.06652220990457e-05,7.328636410547108e-07,5.71925293455202e-07,-1.5256476446618242e-06,2.580232079956649e-07,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,1.0886475452904741e-06,6.163217476237764e-07,0.0008810547505270743,0.08277522862640004,116.10124115598913,1.420272688820086,160.08776120219918,27.112814625855226
157,Patrick Mahomes,QB,Texas Tech,2018.0,381.285413361246,577.9727240871007,5078.872873447804,49.679780895858066,11.953553494151272,25.87080801935745,169.30535939865217,5.963212548805167,1.9506076938753902,5227.14642550897,2598.0809100161455,235.2209948850917,219.7444424545693,-0.009210976016485765,16.19642778790792,3.3215729623944066,59.31598065205532,266.9613835369934,1.9691501974396983,1.9672536937635272,-0.00028763162823422576,17.81443483294948,14.063821595907333,0.9874229763825035,0.0019443831997770895,0.0021710181463937797,0.0003682000920125041,1.282842471219615e-05,0.0,0.0,-0.0033090022395797923,0.00039768116607807885,2.5656849424392294e-05,-0.00033451439335951445,1.282842471219615e-05,1.9242637068294243e-05,2.415597523566758e-05,-0.0001639382318915008,0.00013408085116180008,0.0,415.60493733446464,415.07383640340714,15.949186166902004,2.2229827637535308e-05,-2.1497054789695754e-06,5.71925293455202e-07,1.435823307173911e-05,2.580232079956649e-07,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,1.0886475452904741e-06,6.163217476237764e-07,1.8060968697064055e-06,0.22227276081402872,266.9617517370854,1.9691630258644106,423.41932123630085,26.548020494925762
273,Kyler Murray,QB,Oklahoma,2020.0,373.5089465869287,557.1398105430058,3966.0388605237536,25.97766480768764,12.054871442426807,27.288672009707383,176.5370446331563,4.02889911380832,3.94996756811678,4335.250051139453,1745.0451684013915,204.32123978428618,32.72087726891648,0.009641171907448396,14.751857950471603,1.8244005413805389,132.14314240757383,814.4904345566945,10.962183759897995,4.997644614457536,0.01282052441886261,51.66599283539114,43.574299725370956,-0.0016943081783401682,0.00465832454165851,0.012012469850892006,0.0003682000920125041,1.282842471219615e-05,0.0,0.0,-0.01585362362617608,0.00039768116607807885,2.5656849424392294e-05,-0.008578526552456858,1.282842471219615e-05,1.9242637068294243e-05,0.0004950010674935791,-0.00019496961645587552,0.0005477689238790074,0.0,376.793471394056,377.47898931906747,15.938040614744942,5.692464843235933e-05,-4.770383677255631e-06,5.71925293455202e-07,4.3894189433527245e-05,2.580232079956649e-07,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,1.0886475452904741e-06,6.163217476237764e-07,1.8060968697064055e-06,0.24411277171662943,814.4908027567865,10.962196588322707,406.4896038419766,25.50436491333296
415,Ian Book,QB,Notre Dame,2022.0,1.9995094685056019,5.0157438424458585,33.80902886184348,0.3803215318828983,0.15097695964501034,0.25575341438228166,1.811387062999498,0.0261254688820769,0.027444843896368296,46.479741392526094,18.881784541923942,1.932203704527204,-0.35364962629093594,0.00937334396807161,0.10991609285905064,0.005697506720805231,1.0922961424519668,3.660014925503247,0.058932225432480806,0.03881831444221564,-0.0011965081617764388,0.4339916029391931,0.12895452003359714,-0.001214936178301343,-0.001798590430226109,-0.0014722984063952607,0.0003682000920125041,1.282842471219615e-05,0.0,0.0,0.002510265211002658,0.00039768116607807885,2.5656849424392294e-05,1.2199018091653118e-05,1.282842471219615e-05,1.9242637068294243e-05,8.85991618080831e-06,1.524236502538228e-05,-3.3389284684980425e-05,0.0,1.7484744304959945,2.6323147379090983,0.14007076295775284,-4.782230917891409e-06,7.328636410547108e-07,5.71925293455202e-07,-1.5256476446618242e-06,2.580232079956649e-07,1.8326321017423108e-06,3.5675519433610305e-07,4.716925491285195e-07,1.0886475452904741e-06,6.163217476237764e-07,1.8060968697064055e-06,0.0019374977086048751,3.6603831255952595,0.058945053857193,3.4698895268167522,24.77240398742824
363,Jonathan Taylor,RB,Wisconsin,2021.0,1.3620267722628366e-08,4.0860803167884965e-08,6.810133861600024e-07,1.3620267722628366e-08,0.0,0.0,0.0,0.0,0.0,5.311904412028594e-07,5.039499057776031e-07,1.3620267722628366e-08,1.6183545566833222e-08,0.0,5.238564509119543e-08,0.0,332.48157179487146,1809.3394008067546,18.034529442127997,2.9866479374628163,1.9915407181037839,107.06420368212278,34.22142681946837,0.004574904792571364,40.047918244505745,50.92116878891813,360.971701281284,2.013157026033769,0.9828889217661402,0.001946373751180496,-44.636482533286674,407.95574844747836,12.042430890997991,4.939611391914545,0.0022897547780916633,-12.949574112022109,1.6482623733781037,-0.20611143111722408,2.3156141086371402,4.086080316788486e-08,333.05426359570725,373.4125356168596,16.978042126249697,0.09764282005870636,-0.011124201545212518,0.24480055950155635,0.1377469982197817,0.09958803585535513,0.07502381050249107,0.07118543964318727,0.07133704645993288,0.08754813381306092,0.09493098294336837,0.6849687393666909,0.2531381866831203,2170.3111020880388,20.047686468161768,410.9314815572254,24.203702553069153
