,player_id,name,position,age,draft_year,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,scrimage_yards_y_pred_gbf,scrimage_touchdowns_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G
126,00-0023459,Aaron Rodgers,QB,40,2005.0,2024,178.2630819975328,271.94622437677856,2358.4596804878097,19.243294090876777,8.603208506939604,13.738623280601255,102.28255051642151,2.4034458398901775,0.7612998701256718,2141.506024317554,933.9281109259972,77.15212993672522,-9.926102421765572,0.5880135131066413,13.215529905510564,0.7410221634142052,20.97265663110192,34.307805966531966,0.9444796885787203,0.48799491716441407,-0.004085974381198474,5.0953548811127565,4.839478928443312,0.06161042865923312,0.14173095710978,0.1781534608408258,0.6819991037192623,6.011363401818175e-05,0.0,0.0,-0.7569664200278572,0.749010417004384,0.0005970861143953833,-0.1356778578998264,3.0056817009090876e-05,0.0012496588904512967,0.0054970128649889085,-0.0010202486267423848,0.004063402664341672,0.0,150.15139899897304,162.5448811831856,9.438837604090532,0.0003111959300117797,-4.7028903618279605e-05,0.00016843094128377083,0.00023119912855038406,0.00012694868434974023,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,0.00015277303944315933,0.0002307181390819041,0.0002978434745053681,0.14102382965968766,34.98980507025123,0.9445398022127385,160.869663855045,17.043376589647917
336,00-0026158,Joe Flacco,QB,38,2008.0,2024,48.281992226038554,61.70593521108142,753.8095511574257,3.4457653120611993,1.9077594460795306,4.603734595243795,36.30695509456725,1.5202235041005736,0.3097842568151691,586.0038683787636,250.36464391203052,21.469566248817436,3.8816730556359698,0.2184397634711737,2.800785172073442,0.22547586449332652,5.7913049082942605,16.211070933970205,0.19977412778294898,0.10116751015125347,-0.025460884358855806,1.0586074139232073,-1.0535608640266114,0.0002829631026272233,0.007218802949851353,-0.0044637118892027,0.0880626545584745,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,-0.016124943885319813,0.0005970861143953833,-0.08790678781812565,3.0056817009090876e-05,0.0012496588904512967,-0.0005595575477625202,-0.00016750791358441565,0.0006022897818340094,0.0,25.573479591299137,26.394741419674872,3.2605083414518696,5.8007975717277186e-05,-2.480197791152949e-05,2.9225395491364046e-05,8.66005050099612e-05,-8.307556210984599e-06,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,-4.891025162172465e-06,-9.426830964686183e-05,0.09820426127510928,16.29913358852868,0.19983424141696715,41.483677865080594,12.723070613770721
418,00-0026498,Matthew Stafford,QB,35,2009.0,2024,348.20348221434654,500.8813966626376,3532.074860113567,23.27953132739888,8.781145613999032,28.878453429488438,203.5579858419203,5.706633245259018,1.7730330983423106,3532.360182149068,1950.2338474941116,194.03267376811124,2.7020386894655113,0.7343283794054972,12.717814035256664,1.3716739212222977,26.482945799976807,53.35092390896694,0.8507814847493778,1.797243282754879,0.3086852823858894,6.68245681181326,-3.7893228610412675,0.03147843660778847,-0.0009629911276873547,0.016043387921972494,-0.03634593007246503,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,0.10830002626238254,0.0005970861143953833,0.02799442312639009,3.0056817009090876e-05,0.0012496588904512967,-0.0006579685769269744,-0.00040573917372541053,0.0012800282858974757,0.0,224.84093776609677,220.38753309444874,14.782166663308672,0.00012872541354387175,-2.480197791152949e-05,7.880533840627264e-06,0.00015214702501150688,-8.307556210984599e-06,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,-4.891025162172465e-06,-9.426830964686183e-05,0.17560074820705016,53.31457797889448,0.8508415983833959,219.15797634246903,14.825835842214431
437,00-0026625,Brian Hoyer,QB,38,2009.0,2024,24.676832724840757,45.56460825956373,233.3655353487315,2.008235583395766,1.194508722502216,2.6075908527525624,20.128712765584346,0.2679837078981933,0.0898671207976036,406.40305470597923,118.71658930540802,13.722449911800876,-5.380859608767338,0.15988880220719204,1.9600004931914243,0.04258055986032713,5.267523043065389,3.4501900828522176,-0.09331322107262177,0.14705312796359968,-0.025460884358855806,1.0427604534896968,-0.3323812228043499,0.0002829631026272233,0.13856026617360748,0.1073778679320857,0.7938695363969109,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,0.3639877947392282,0.0005970861143953833,0.008631881263637198,3.0056817009090876e-05,0.0012496588904512967,0.003230329873251354,-0.00016750791358441565,0.009015232273499249,0.0,11.08522660418485,14.608795127754625,3.0746490329820673,5.832653441756018e-05,-2.480197791152949e-05,2.9225395491364046e-05,0.00044954803948302235,0.00017073453074083238,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,0.00015245888331385328,0.0005135377377045566,0.002479182968736907,0.039409251317326595,4.2440596192491284,-0.09325310743860359,14.753108398655847,4.798306486495785
689,00-0027948,Blaine Gabbert,QB,34,2011.0,2024,73.95837269564541,72.72016350114504,403.05899360419284,2.3459052111666323,1.194508722502216,3.0430755376075633,21.480551118309624,0.187577460272241,0.20506082202968842,263.794910592492,154.88080929577708,25.777540092020676,-6.72265048082887,0.09712268631196228,2.406154400101985,0.03156165997839189,4.908925119402953,8.145631301212344,-0.09331322107262177,0.1714823186229345,-0.025460884358855806,1.2951498934584906,0.22034170081414733,0.0061194750079173795,0.13856026617360748,0.1073778679320857,0.9133941191255548,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,1.5693247155590044,0.0005970861143953833,0.008631881263637198,3.0056817009090876e-05,0.0012496588904512967,0.005587148429649068,-0.00016750791358441565,0.01093250760252588,0.0,15.19574627252957,20.819570541939203,3.2409112445403276,0.0001501505947341126,-2.480197791152949e-05,0.0007014835458860224,0.0004751057198651269,0.00017073453074083238,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,0.00015245888331385328,0.0005135377377045566,0.002778259575891629,0.032492269208959625,9.059025420337898,-0.09325310743860359,23.188272944010716,7.15486207253405
709,00-0027973,Andy Dalton,QB,36,2011.0,2024,62.573005525193096,100.5677273713483,478.85329937724026,3.5541519350590085,3.850789755350432,7.193655406832538,88.59017820972848,0.712671908897059,0.8147315243905979,968.5879258137924,280.1601393601353,33.568440818077065,-8.138517859285871,0.2062462606160065,3.5731916049650403,0.22183772076084882,8.509293514569702,31.287899062821,0.29605561154959514,1.0037969662571367,0.03862796157593753,2.654232114690051,1.7411863073720397,-0.001352805418897145,0.007218802949851353,0.026736478029895813,-0.02020411773875146,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,-0.016124943885319813,0.0005970861143953833,0.013256690917789738,3.0056817009090876e-05,0.0012496588904512967,0.0007588718612472446,-0.00016750791358441565,0.0010523541464730972,0.0,31.48071338627275,36.321421538231526,5.060111080546027,0.00018576055767085363,-2.480197791152949e-05,1.2645468852652145e-05,0.00011215818539206575,4.915284092143019e-06,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,3.3057631905919094e-06,-1.1057635661377289e-05,0.05869949502463414,31.26769494508225,0.29611572518361334,28.41895772545492,5.616271515207189
850,00-0028118,Tyrod Taylor,QB,34,2011.0,2024,79.73407664330026,105.22402682090876,631.347420561505,3.4865340060014822,2.970737562419103,5.525107391582586,39.98854275317796,0.957699385998659,0.19289362191068785,830.8621152534408,309.6802549314955,32.414239706427,-6.111390151940285,0.3034235065910786,3.660200440999075,0.33470566227485876,18.630697683920914,89.81665420907252,0.4556071246082297,0.667759760233714,0.014517722704192139,6.300997715729097,3.4685691746632337,-0.0011594523568222478,-0.0009613584487334155,0.01445795321815217,-0.022864647728399388,6.011363401818175e-05,0.0,0.0,-0.16035193939851755,-0.019363747966251108,0.0005970861143953833,0.026524658622517225,3.0056817009090876e-05,0.0012496588904512967,0.0006699447784844047,-0.00016750791358441565,0.0008827584523449629,0.0,44.74259022465522,47.187490591409926,4.620761268767919,7.431365201020752e-05,-2.480197791152949e-05,1.565636896718552e-05,0.00013850760483557242,4.915284092143019e-06,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,3.3057631905919094e-06,-1.1057635661377289e-05,0.12724746853713656,89.79378956134413,0.4556672382422479,43.74549606396039,9.467162123185105
926,00-0028986,Case Keenum,QB,35,2012.0,2024,35.63349238526224,60.36454026469184,249.0918575085414,2.569172066782006,1.5133307021360092,4.847593898009347,30.559941113298734,0.34305747160271577,0.40079866038468415,643.2315465289499,172.65988503250546,15.34348495921326,-8.189070344545621,0.1683599376084173,2.1901792734353345,0.10263757418684623,4.837721768095917,11.615571663918768,0.025777460063173406,0.37396450791797375,-0.02343116174802607,4.575726752569197,-2.3246749162606615,0.0002829631026272233,0.007218802949851353,-0.0044637118892027,0.08130695829160947,6.011363401818175e-05,0.0,0.0,-0.013162477569765976,-0.005522388405296286,0.0005970861143953833,-0.012284770101658156,3.0056817009090876e-05,0.0012496588904512967,-0.0004715231988547394,-0.00016750791358441565,0.0006022897818340094,0.0,21.83661889267892,24.050199146080427,2.220930544285262,5.8007975717277186e-05,-2.480197791152949e-05,2.9225395491364046e-05,8.66005050099612e-05,4.915284092143019e-06,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,3.3057631905919094e-06,-1.1057635661377289e-05,0.06414909274270696,11.696878622210377,0.02583757369719159,17.784414379770283,8.00764095281226
994,00-0029263,Russell Wilson,QB,35,2012.0,2024,188.62752440407382,289.9014168866892,2021.5047848095082,19.57397237982086,4.172033430602039,21.88182178062804,131.70512419723636,2.0156154121579943,0.4326606024291992,2331.521897154581,888.3133708468782,109.09080916461045,-23.470985483157577,0.5515519209170293,8.425498657951886,0.800340668899626,25.13587353569659,66.83801920452714,0.5508390184453535,2.2863653139414626,0.06012770961978529,6.665622490178032,1.0754449325271183,0.02934950661048381,0.38137344314114446,0.43396098957544593,-3.059710802678482,6.011363401818175e-05,0.0,0.0,-0.35526818537012017,-0.11510680288842548,0.0005970861143953833,-0.5945302328064296,3.0056817009090876e-05,0.0012496588904512967,0.013684219429218148,-0.0026687905966963766,0.02043580145849463,0.0,143.84319878645246,148.4421157555444,8.325804298083034,0.0003653103196008122,-7.36926731114707e-05,-9.547057108458645e-05,0.0003169097455132226,-0.000156430617418414,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,-0.00016100997205195929,-0.0013943296195417906,0.15882235563307975,63.77830840184866,0.5508991320793717,156.994321322011,18.856354977999903
1079,00-0029604,Kirk Cousins,QB,35,2012.0,2024,357.96600030669407,552.1665169741854,4007.805898412442,25.9064480999071,8.892318261420744,30.22577329342374,212.0953102654818,2.6262044130039848,1.6481069380755378,4522.640527853554,1739.8267144318338,178.0590092558223,2.9171123085460264,2.2936429096834123,15.574320806660861,1.6860376193416027,27.687243024012812,41.14476559669576,1.2588371311836755,1.2506668349821142,0.3189931364985328,6.401667034069911,-1.9883039065141503,-0.004988144444671195,0.045157691637200265,0.36189158896748,-0.0003943067831900437,6.011363401818175e-05,0.0,0.0,-0.10777071687140491,0.375916047795447,0.0005970861143953833,-0.40878314455448866,3.0056817009090876e-05,0.0012496588904512967,0.01143781332579345,-0.00016750791358441565,0.01768107020513368,0.0,266.92032633650007,252.03806004228295,16.364385445213927,0.0006010422689479,-5.146574740472059e-05,0.00016230052462185227,0.0004849383281602621,-1.30151685512009e-05,3.5673494935032252e-06,5.949472704133586e-06,6.840856177715317e-06,-3.6420717961838654e-06,-4.891025162172465e-06,-9.426830964686183e-05,0.19557962223360575,41.14437128991257,1.2588972448176936,256.5871658674413,15.67960903429374
