,player_name,pos,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G,fantasy_points_proj/G_rank,fantasy_points_proj_rank
261,Marcedes Lewis,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.02,0.12,0.0,7.53,10.53,50.63,0.84,0.23,-0.0,63.09,36.01,3.42,3.35,0.15,7.88,0.2,0.08,0.16,0.0,11.25,24.01,3.81,0.04,0.01,0.05,0.07,0.03,0.09,0.05,0.05,0.05,0.03,0.25,0.03,15.69,4.12,427.0,475.0
262,Zach Ertz,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.07,0.18,0.0,0.0,0.0,0.32,0.08,0.0,42.37,65.33,418.52,3.27,1.57,0.61,461.4,183.46,19.98,8.83,0.14,14.41,1.92,1.85,4.16,0.0,60.36,107.78,15.46,0.16,0.15,0.09,0.34,0.14,0.13,0.17,0.17,0.13,0.12,0.86,0.09,90.92,5.88,312.0,169.0
263,Travis Kelce,TE,2024.0,0.1,0.05,0.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,1.16,0.07,0.01,0.0,0.0,0.0,1.29,0.45,0.37,0.0,0.0,0.1,0.1,0.0,101.82,140.5,1216.45,6.08,0.79,0.37,959.72,464.37,50.2,28.4,0.57,15.95,3.64,3.23,7.27,0.0,155.04,289.26,15.79,0.2,0.21,0.14,0.49,0.23,0.16,0.24,0.24,0.2,0.19,1.71,0.14,236.49,14.98,78.0,25.0
264,Logan Thomas,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.07,0.1,0.0,0.0,0.0,-0.0,-0.22,0.0,36.43,33.85,257.38,3.19,0.08,0.06,189.85,106.76,13.14,-4.65,0.49,15.31,1.18,0.63,2.52,0.0,41.85,71.05,12.37,0.07,0.05,0.08,0.14,0.09,0.23,0.11,0.12,0.17,0.1,0.43,0.05,70.52,5.7,331.0,216.0
265,Chris Manhertz,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.0,-0.0,0.08,0.0,5.74,8.29,45.21,1.25,0.03,-0.0,31.04,17.47,1.98,1.18,-0.01,5.9,0.24,0.11,0.43,0.0,8.94,15.0,5.74,0.04,0.02,0.04,0.08,0.03,0.05,0.03,0.03,0.05,0.04,0.21,0.03,15.86,2.76,504.5,473.0
266,MyCole Pruitt,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.03,-0.03,0.0,17.38,15.15,131.9,0.45,0.5,0.04,64.35,113.66,5.5,-3.63,0.05,10.89,0.61,0.53,0.93,0.0,24.46,52.05,8.9,0.05,0.06,0.07,0.09,0.06,0.07,0.06,0.05,0.04,0.05,0.39,0.04,26.91,3.02,492.5,389.0
267,Darren Waller,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.04,0.93,0.0,0.0,0.0,0.27,0.58,0.0,37.22,54.49,338.67,1.44,0.63,0.42,529.43,122.75,20.55,-2.06,0.26,11.98,1.62,1.79,3.57,0.0,46.29,91.38,12.67,0.15,0.16,0.11,0.32,0.16,0.13,0.17,0.18,0.13,0.13,1.08,0.09,71.12,5.61,336.5,213.0
268,Blake Bell,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.15,0.45,0.0,0.0,0.0,0.5,0.35,0.0,5.36,7.81,41.2,1.93,0.73,0.76,26.63,23.9,1.81,-0.99,0.18,15.26,0.2,0.07,0.4,0.0,13.19,14.69,4.8,0.04,0.01,0.08,0.07,0.03,0.09,0.03,0.06,0.04,0.04,0.17,0.03,18.47,3.85,452.0,448.0
269,C.J. Uzomah,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.04,0.0,0.0,0.0,-0.0,-0.0,0.0,18.06,22.33,132.33,1.09,0.03,-0.01,115.94,94.04,6.22,3.39,0.01,12.06,0.67,0.43,1.72,0.0,23.56,45.01,10.15,0.06,0.05,0.06,0.12,0.06,0.15,0.06,0.05,0.09,0.06,0.47,0.05,31.91,3.14,488.0,357.0
270,Geoff Swaim,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.01,0.22,0.0,6.13,6.19,64.88,1.74,-0.0,-0.0,34.76,21.38,3.02,3.16,0.04,9.27,0.26,0.2,0.5,0.0,22.37,33.36,5.23,0.04,0.04,0.03,0.1,0.05,0.04,0.04,0.05,0.06,0.07,0.31,0.04,21.59,4.13,425.5,423.0
271,Austin Hooper,TE,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.04,0.0,0.0,0.0,-0.0,-0.01,0.0,22.04,45.77,179.33,1.51,-0.02,0.04,254.76,76.3,10.19,4.32,0.49,19.24,1.03,1.07,2.45,0.0,32.92,59.31,8.1,0.06,0.09,0.04,0.17,0.05,0.15,0.09,0.1,0.12,0.1,0.44,0.07,44.03,5.44,344.0,296.0
