,player_name,pos,season,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G,fantasy_points_proj/G_rank,fantasy_points_proj_rank
0,Aaron Rodgers,QB,2024.0,178.26,271.95,2358.46,19.24,8.6,13.74,102.28,2.4,0.76,2141.51,933.93,77.15,-9.93,0.59,13.22,0.74,20.97,34.31,0.94,0.49,-0.0,5.1,4.84,0.06,0.14,0.18,0.68,0.0,0.0,0.0,-0.76,0.75,0.0,-0.14,0.0,0.0,0.01,-0.0,0.0,0.0,150.15,162.54,9.44,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,163.54,17.33,48.0,84.0
1,Joe Flacco,QB,2024.0,48.28,61.71,753.81,3.45,1.91,4.6,36.31,1.52,0.31,586.0,250.36,21.47,3.88,0.22,2.8,0.23,5.79,16.21,0.2,0.1,-0.03,1.06,-1.05,0.0,0.01,-0.0,0.09,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.09,0.0,0.0,-0.0,-0.0,0.0,0.0,25.57,26.39,3.26,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1,42.01,12.89,110.0,306.0
2,Matthew Stafford,QB,2024.0,348.2,500.88,3532.07,23.28,8.78,28.88,203.56,5.71,1.77,3532.36,1950.23,194.03,2.7,0.73,12.72,1.37,26.48,53.35,0.85,1.8,0.31,6.68,-3.79,0.03,-0.0,0.02,-0.04,0.0,0.0,0.0,-0.01,0.11,0.0,0.03,0.0,0.0,-0.0,-0.0,0.0,0.0,224.84,220.39,14.78,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.18,222.56,15.06,76.0,34.0
3,Brian Hoyer,QB,2024.0,24.68,45.56,233.37,2.01,1.19,2.61,20.13,0.27,0.09,406.4,118.72,13.72,-5.38,0.16,1.96,0.04,5.27,3.45,-0.09,0.15,-0.03,1.04,-0.33,0.0,0.14,0.11,0.79,0.0,0.0,0.0,-0.01,0.36,0.0,0.01,0.0,0.0,0.0,-0.0,0.01,0.0,11.09,14.61,3.07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,15.28,4.97,369.5,480.5
4,Blaine Gabbert,QB,2024.0,73.96,72.72,403.06,2.35,1.19,3.04,21.48,0.19,0.21,263.79,154.88,25.78,-6.72,0.1,2.41,0.03,4.91,8.15,-0.09,0.17,-0.03,1.3,0.22,0.01,0.14,0.11,0.91,0.0,0.0,0.0,-0.01,1.57,0.0,0.01,0.0,0.0,0.01,-0.0,0.01,0.0,15.2,20.82,3.24,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,23.85,7.36,243.0,413.0
5,Andy Dalton,QB,2024.0,62.57,100.57,478.85,3.55,3.85,7.19,88.59,0.71,0.81,968.59,280.16,33.57,-8.14,0.21,3.57,0.22,8.51,31.29,0.3,1.0,0.04,2.65,1.74,-0.0,0.01,0.03,-0.02,0.0,0.0,0.0,-0.01,-0.02,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,31.48,36.32,5.06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.06,29.74,5.88,312.0,373.0
6,Tyrod Taylor,QB,2024.0,79.73,105.22,631.35,3.49,2.97,5.53,39.99,0.96,0.19,830.86,309.68,32.41,-6.11,0.3,3.66,0.33,18.63,89.82,0.46,0.67,0.01,6.3,3.47,-0.0,-0.0,0.01,-0.02,0.0,0.0,0.0,-0.16,-0.02,0.0,0.03,0.0,0.0,0.0,-0.0,0.0,0.0,44.74,47.19,4.62,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.13,46.89,10.15,159.0,276.0
7,Case Keenum,QB,2024.0,35.63,60.36,249.09,2.57,1.51,4.85,30.56,0.34,0.4,643.23,172.66,15.34,-8.19,0.17,2.19,0.1,4.84,11.62,0.03,0.37,-0.02,4.58,-2.32,0.0,0.01,-0.0,0.08,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.0,21.84,24.05,2.22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.06,20.07,9.04,187.0,436.0
8,Russell Wilson,QB,2024.0,188.63,289.9,2021.5,19.57,4.17,21.88,131.71,2.02,0.43,2331.52,888.31,109.09,-23.47,0.55,8.43,0.8,25.14,66.84,0.55,2.29,0.06,6.67,1.08,0.03,0.38,0.43,-3.06,0.0,0.0,0.0,-0.36,-0.12,0.0,-0.59,0.0,0.0,0.01,-0.0,0.02,0.0,143.84,148.44,8.33,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.16,160.39,19.26,32.0,89.0
9,Kirk Cousins,QB,2024.0,357.97,552.17,4007.81,25.91,8.89,30.23,212.1,2.63,1.65,4522.64,1739.83,178.06,2.92,2.29,15.57,1.69,27.69,41.14,1.26,1.25,0.32,6.4,-1.99,-0.0,0.05,0.36,-0.0,0.0,0.0,0.0,-0.11,0.38,0.0,-0.41,0.0,0.0,0.01,-0.0,0.02,0.0,266.92,252.04,16.36,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.2,259.78,15.87,69.0,14.0
10,Ryan Tannehill,QB,2024.0,93.07,162.85,882.99,6.54,4.97,13.46,91.1,1.64,1.71,1419.73,443.05,50.16,4.22,0.72,8.09,0.44,19.27,104.18,0.24,0.76,0.14,11.98,-0.31,0.06,0.07,0.31,-0.08,0.0,0.0,0.0,-0.78,0.27,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,77.55,82.51,5.04,0.0,-0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11,66.75,13.23,101.5,221.0
11,Geno Smith,QB,2024.0,219.43,333.1,2788.42,27.75,6.63,21.63,153.02,1.51,1.07,3149.08,1049.34,133.43,11.63,0.34,13.69,2.38,29.27,104.11,1.11,1.53,0.17,8.53,-2.48,-0.01,0.13,0.46,-4.1,0.0,0.0,0.0,4.86,-0.08,0.0,-0.68,0.0,0.0,0.02,0.01,0.04,0.0,165.09,155.85,10.09,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.18,226.65,22.47,16.0,30.0
12,Teddy Bridgewater,QB,2024.0,52.84,65.26,496.35,2.25,3.1,6.47,40.84,0.73,0.33,440.95,257.11,25.2,-4.64,0.27,3.15,0.13,13.6,36.02,0.69,0.51,0.09,4.65,2.04,-0.0,0.03,0.14,0.75,0.0,0.0,0.0,-0.01,0.35,0.0,0.03,0.0,0.0,0.0,-0.0,0.0,0.0,36.27,36.35,4.49,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,31.66,7.05,253.0,359.0
13,Derek Carr,QB,2024.0,324.66,502.95,3722.14,21.08,8.38,29.15,223.82,7.4,2.39,3773.45,1698.49,173.86,47.72,0.81,15.41,1.28,21.38,61.18,0.23,0.64,0.4,8.46,-5.33,0.07,0.07,0.27,1.18,0.0,0.0,0.0,-0.01,1.31,0.0,-0.03,0.0,0.0,0.0,-0.0,0.01,0.0,211.59,205.59,13.45,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,219.26,16.3,65.0,38.0
14,Jimmy Garoppolo,QB,2024.0,153.64,146.01,1139.47,11.41,3.59,10.9,74.51,1.54,0.52,1505.37,640.57,82.93,1.67,0.27,6.53,0.32,14.22,12.41,0.07,0.53,0.15,5.57,-4.59,0.01,0.02,0.09,-0.23,0.0,0.0,0.0,-0.01,0.31,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,78.82,108.02,7.87,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.14,86.27,10.96,140.0,180.0
15,Jameis Winston,QB,2024.0,43.23,64.1,266.65,1.69,1.31,3.62,22.17,0.55,0.38,287.41,134.21,17.92,-6.34,0.15,2.32,0.29,10.31,34.78,0.19,0.4,0.11,3.67,3.26,-0.0,-0.0,-0.0,-0.04,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,15.39,15.75,4.28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.09,20.11,4.7,387.5,435.0
16,Taylor Heinicke,QB,2024.0,121.63,222.79,1320.85,7.81,2.93,15.61,100.51,1.05,0.5,1356.28,507.61,57.96,4.81,0.29,4.95,0.35,23.41,126.76,0.39,0.91,0.18,8.65,3.29,0.15,0.0,0.01,-0.09,0.0,0.0,0.0,-1.14,0.23,0.0,-0.09,0.0,0.0,-0.0,-0.0,0.0,0.0,72.22,74.66,8.91,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.13,95.81,10.75,148.0,162.0
17,Trevor Siemian,QB,2024.0,47.49,52.0,422.96,3.3,1.28,5.91,30.99,0.63,0.96,478.54,189.56,20.54,-12.96,0.09,2.31,0.17,3.49,15.45,-0.07,0.05,0.03,1.86,-1.92,-0.0,0.01,0.07,0.07,0.0,0.0,0.0,-0.01,0.02,0.0,-0.01,0.0,0.0,0.0,-0.0,0.01,0.0,33.35,32.85,2.68,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08,28.16,10.51,151.0,383.0
18,Marcus Mariota,QB,2024.0,80.14,142.54,1013.96,3.92,4.47,11.53,42.33,0.32,-0.24,1192.17,280.6,37.42,-1.69,0.08,3.92,0.42,28.64,95.05,0.54,3.14,0.35,9.32,0.19,-0.0,0.18,0.13,1.56,0.0,0.0,0.0,-0.15,0.79,0.0,0.09,0.0,0.0,0.01,-0.0,0.0,0.0,27.43,37.6,8.48,0.0,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.09,61.56,7.26,247.5,232.0
19,Carson Wentz,QB,2024.0,64.19,114.62,494.42,2.97,4.09,10.39,57.51,1.18,1.15,938.2,265.02,30.76,-20.16,0.28,3.1,0.22,13.73,57.34,0.86,0.33,0.21,6.95,2.44,0.0,-0.01,-0.04,-0.07,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.07,0.0,0.0,-0.0,-0.0,-0.0,0.0,59.98,65.28,5.67,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.07,35.57,6.28,289.0,333.0
20,Dak Prescott,QB,2024.0,364.16,539.82,3876.26,25.96,12.18,28.99,192.67,5.69,2.32,3717.06,1843.72,183.61,52.23,0.8,14.79,1.74,34.04,117.8,1.38,2.11,0.47,9.07,3.87,0.01,0.16,0.13,0.05,0.0,0.0,0.0,-0.26,0.3,0.0,-0.07,0.0,0.0,0.0,-0.0,0.0,0.0,260.17,258.38,15.03,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.16,250.23,16.64,61.0,19.0
21,Jared Goff,QB,2024.0,375.57,511.22,3485.99,25.54,11.24,33.19,211.25,4.8,2.92,4015.25,1938.86,187.7,40.12,1.53,16.11,1.6,26.63,41.27,1.42,1.61,1.59,9.45,-0.04,0.0,0.05,0.04,-0.15,0.0,0.0,0.0,-0.05,0.28,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,259.18,225.46,15.28,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,228.65,14.96,79.0,29.0
22,Jacoby Brissett,QB,2024.0,50.08,76.77,421.12,2.6,1.77,6.42,59.26,0.75,0.5,723.29,329.41,24.93,-2.74,0.09,2.47,0.25,12.37,40.41,0.61,1.96,0.11,6.04,-2.21,0.03,0.23,0.25,-0.0,0.0,0.0,0.0,-0.48,0.01,0.0,0.11,0.0,0.0,0.01,-0.01,0.0,0.0,19.32,11.32,4.07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.09,31.51,7.75,232.0,360.0
23,P.J. Walker,QB,2024.0,60.82,77.72,514.68,2.39,2.97,3.66,32.83,0.66,0.74,288.96,178.56,24.55,-11.1,0.27,2.65,0.19,4.57,31.63,0.08,0.46,0.13,1.54,-1.07,-0.0,0.01,-0.0,-0.03,0.0,0.0,0.0,-0.01,-0.01,0.0,0.02,0.0,0.0,-0.0,-0.0,0.0,0.0,11.74,23.44,2.95,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.04,27.21,9.21,182.5,387.0
24,Nick Mullens,QB,2024.0,41.39,52.61,697.78,2.8,2.48,5.69,35.8,1.08,0.86,540.47,265.04,24.91,-4.18,0.16,2.55,0.18,5.23,16.54,0.17,0.26,0.13,0.87,-0.8,0.0,0.01,-0.0,0.09,0.0,0.0,0.0,-0.01,-0.02,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,23.92,27.04,3.22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.09,35.28,10.94,141.0,336.0
25,Taysom Hill,QB,2024.0,135.4,147.56,1476.19,10.05,4.29,14.35,106.63,0.44,0.15,1724.37,538.0,51.28,-8.4,1.0,4.24,0.47,19.57,174.18,0.98,0.91,0.25,9.74,2.42,0.04,1.2,2.35,5.87,0.0,0.0,0.0,14.17,3.65,0.0,-0.37,0.34,0.73,0.06,0.06,0.15,0.0,64.78,65.65,5.51,0.08,0.07,0.0,0.17,0.05,0.0,0.0,0.0,0.02,0.04,0.32,0.07,121.02,21.95,17.5,126.0
26,Cooper Rush,QB,2024.0,48.59,56.14,532.96,2.47,1.82,4.42,30.66,0.27,0.14,723.07,207.45,14.23,-3.44,0.43,2.62,0.16,5.25,7.37,0.03,0.23,0.13,0.95,-1.13,0.0,0.01,-0.0,-0.06,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.0,24.18,20.97,3.74,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.05,29.03,7.76,230.5,376.0
27,Mitchell Trubisky,QB,2024.0,55.15,99.39,531.13,3.08,4.59,6.26,33.87,0.27,0.12,786.09,206.55,28.72,-2.74,0.19,3.05,0.23,7.24,20.53,0.58,0.9,0.17,4.04,-0.39,0.0,0.01,0.08,-0.04,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.01,0.0,0.0,0.01,-0.0,0.01,0.0,22.89,25.6,5.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08,30.85,5.72,330.0,364.0
28,Patrick Mahomes,QB,2024.0,360.07,539.47,3957.86,25.33,8.03,30.62,246.24,4.57,3.14,4230.33,2035.16,190.11,77.23,2.55,17.97,1.8,40.34,141.16,1.84,2.4,0.99,13.27,2.76,0.17,0.36,0.51,-0.13,0.0,0.0,0.0,-0.66,0.98,0.0,-0.53,0.08,0.0,0.02,-0.01,0.03,0.0,268.17,277.32,15.73,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.15,269.99,17.17,51.0,9.0
29,C.J. Beathard,QB,2024.0,34.81,50.51,331.37,1.49,1.55,3.1,23.47,0.36,0.17,306.83,98.87,13.72,-2.36,0.22,2.39,0.29,5.9,11.62,0.16,0.23,0.16,2.1,-0.14,0.0,0.03,0.02,0.47,0.0,0.0,0.0,-0.01,1.02,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,19.51,21.03,2.96,0.0,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.06,18.85,6.36,285.0,443.0
30,Nathan Peterman,QB,2024.0,34.81,43.27,233.37,1.32,1.91,5.48,27.36,0.76,0.13,345.84,133.39,13.72,-7.16,0.31,1.86,0.16,5.47,11.49,0.16,2.43,0.13,1.04,-1.56,0.0,0.29,0.39,4.3,0.0,0.0,0.0,-4.18,12.46,0.98,1.24,0.0,0.0,0.0,-0.01,0.0,0.0,10.96,14.79,3.06,0.01,-0.0,0.03,0.01,0.01,0.0,0.02,0.02,0.0,0.0,0.06,0.04,11.64,3.81,453.0,499.0
31,Tim Boyle,QB,2024.0,25.16,45.1,104.5,2.18,1.69,2.7,26.87,0.34,0.35,404.59,79.87,13.72,-6.03,0.23,1.62,0.12,3.54,15.76,0.02,0.06,0.16,0.63,-2.97,0.0,0.01,-0.0,0.21,0.0,0.0,0.0,-0.01,-0.02,0.0,0.02,0.0,0.0,-0.0,-0.0,0.0,0.0,14.24,16.11,2.36,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.03,11.11,4.7,387.5,502.0
32,Mike White,QB,2024.0,63.86,109.29,629.64,2.47,2.96,4.48,32.65,0.59,0.37,695.62,285.32,22.74,-0.75,0.53,3.39,0.34,5.1,24.32,0.09,0.2,0.13,2.54,-1.12,0.0,0.02,0.47,3.13,0.0,0.0,0.0,13.11,2.78,0.0,0.02,0.0,0.0,0.01,0.04,0.05,0.0,23.6,20.18,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,33.45,7.4,242.0,349.0
33,Kyle Allen,QB,2024.0,31.42,41.29,358.34,2.24,1.81,5.48,33.1,0.57,0.35,374.56,114.29,16.37,-18.63,0.45,2.42,0.29,3.28,0.26,0.16,2.4,0.13,-0.33,-2.3,0.01,0.01,0.33,1.63,0.0,0.0,0.0,-4.18,10.46,0.98,1.19,0.0,0.0,0.0,-0.01,0.0,0.0,14.43,22.45,3.13,0.01,-0.0,0.0,0.01,0.01,0.0,0.02,0.02,0.0,0.0,0.05,0.06,18.6,5.94,308.5,446.0
34,Lamar Jackson,QB,2024.0,139.99,227.69,1949.59,20.28,7.68,19.33,135.26,2.14,0.31,1655.2,844.17,105.88,24.1,0.52,8.76,1.41,78.05,256.59,6.48,2.5,1.81,25.99,1.94,-0.01,0.47,0.4,20.39,0.31,0.0,0.0,6.58,5.76,0.55,1.88,0.0,2.31,0.03,0.04,0.12,0.0,128.72,134.78,8.66,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.01,0.02,0.02,0.05,0.14,219.93,25.41,12.0,36.0
35,Baker Mayfield,QB,2024.0,230.88,329.73,2837.5,22.5,7.89,28.5,176.51,2.54,1.63,2471.9,1163.28,149.17,44.69,0.39,12.28,1.58,27.71,43.52,0.84,2.34,0.35,6.29,1.08,0.01,0.01,0.09,0.06,0.0,0.0,0.0,-0.16,-0.06,0.0,-0.11,0.0,0.0,0.0,-0.0,0.0,0.0,182.94,194.29,7.65,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,194.22,25.38,13.0,56.0
36,Josh Allen,QB,2024.0,363.58,496.6,3840.3,16.13,9.98,34.81,240.64,5.65,2.3,4295.65,1821.04,196.78,65.54,1.1,13.85,1.18,94.19,448.99,5.49,2.58,1.77,28.38,5.67,0.23,0.3,0.88,19.14,0.31,0.0,0.0,12.14,6.0,0.55,2.09,0.0,2.31,0.04,0.06,0.15,0.0,261.29,289.6,12.98,0.0,0.0,0.0,0.01,0.0,0.06,0.01,0.01,0.02,0.02,0.04,0.17,284.78,21.95,17.5,6.0
37,Sam Darnold,QB,2024.0,79.41,120.63,634.64,4.46,2.99,8.56,46.58,2.9,0.6,1613.54,217.11,41.85,-1.95,0.23,3.17,0.52,15.7,62.36,2.01,0.4,0.26,8.72,0.21,-0.0,0.05,0.01,0.07,0.0,0.0,0.0,-0.05,0.44,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,54.57,58.22,3.53,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.12,56.21,15.94,68.0,247.0
38,Brett Rypien,QB,2024.0,32.09,37.71,299.64,1.32,1.9,3.48,25.36,0.55,0.71,312.87,159.45,14.23,-22.27,0.13,2.25,0.14,3.11,-0.65,-0.01,0.2,0.14,0.06,-2.28,0.0,0.12,0.02,1.33,0.0,0.0,0.0,-0.01,0.87,0.0,0.01,0.0,0.0,0.0,-0.0,0.0,0.0,15.13,13.51,2.79,0.0,-0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.02,12.25,4.4,405.0,497.0
39,Kyler Murray,QB,2024.0,72.43,105.75,818.87,9.67,3.35,12.24,93.93,0.86,0.26,853.38,339.62,27.84,-2.07,2.01,6.31,0.34,54.9,266.33,0.52,1.73,0.35,34.38,12.78,0.01,0.01,0.19,-0.11,0.0,0.0,0.0,-0.3,0.32,0.0,-0.22,0.0,0.0,0.01,-0.0,0.0,0.0,107.63,120.1,6.66,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.13,112.57,16.89,57.0,142.0
40,Gardner Minshew,QB,2024.0,72.4,150.84,810.9,6.28,5.85,9.96,75.03,1.24,0.92,1155.31,333.12,34.54,-5.19,0.62,4.11,0.53,11.54,59.88,0.16,0.95,0.21,2.56,0.22,0.01,0.02,-0.03,-0.04,0.0,0.0,0.0,-0.16,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.0,0.0,0.0,61.72,64.71,4.81,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11,52.04,10.83,145.0,267.0
41,Daniel Jones,QB,2024.0,96.39,156.16,952.16,5.9,4.31,11.38,54.87,0.94,0.4,1355.7,423.89,54.86,7.28,0.78,5.35,0.67,20.98,158.41,0.79,1.1,0.51,9.57,-1.87,0.02,0.2,0.32,-0.56,0.0,0.0,0.0,-1.04,0.11,0.0,0.28,0.0,0.0,0.02,-0.0,0.01,0.0,35.87,67.61,7.38,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.11,77.19,10.46,152.0,200.0
42,Tyler Huntley,QB,2024.0,53.39,52.41,354.27,2.04,1.5,3.57,23.39,0.62,0.37,526.53,107.74,21.4,-3.13,0.19,2.02,0.22,9.8,57.01,0.51,0.4,0.24,5.67,0.73,0.06,0.08,0.04,-0.06,0.0,0.0,0.0,-0.15,0.27,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,23.02,30.8,4.93,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.09,29.85,6.06,303.0,370.0
43,Tua Tagovailoa,QB,2024.0,225.11,307.43,2709.89,25.07,8.85,19.76,131.9,4.37,1.35,2629.61,1466.68,114.07,33.42,0.13,10.48,1.75,26.03,77.3,1.04,1.28,0.51,8.58,0.01,0.0,0.06,0.09,0.18,0.0,0.0,0.0,-0.56,-0.04,0.0,-0.46,0.0,0.0,0.0,-0.0,0.0,0.0,177.54,171.48,11.19,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,202.06,18.05,43.0,47.0
44,Jordan Love,QB,2024.0,171.99,274.54,2157.66,13.02,8.92,18.69,111.27,2.02,0.78,2173.09,1004.08,113.98,81.77,0.36,7.81,0.95,25.18,69.36,0.7,1.63,0.25,7.87,-0.88,0.29,0.17,0.16,0.01,0.0,0.0,0.0,-1.31,1.02,0.0,-0.48,0.0,0.0,0.01,-0.02,0.0,0.0,133.02,113.63,6.46,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.13,132.33,20.49,25.0,114.0
45,Justin Herbert,QB,2024.0,300.43,493.57,3471.1,22.92,6.7,29.78,212.8,4.86,1.78,4070.79,1687.08,179.23,63.21,1.72,15.59,2.25,48.7,130.85,1.47,2.64,0.72,10.6,-3.23,0.61,0.94,0.89,0.07,0.0,0.0,0.0,13.14,1.32,0.0,-0.58,0.0,0.0,0.04,0.03,0.06,0.0,244.92,254.96,11.55,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.01,0.2,239.49,20.74,22.0,23.0
46,Jalen Hurts,QB,2024.0,280.34,414.44,2350.73,18.93,10.4,28.68,214.29,2.34,0.98,3293.32,1462.55,154.77,33.05,1.18,10.41,1.12,97.48,411.87,8.84,2.55,1.66,26.39,4.68,0.33,1.0,1.28,29.92,1.0,0.0,0.0,14.3,13.77,1.98,2.99,0.0,5.42,0.06,0.08,0.14,0.0,230.28,274.19,12.47,0.0,0.0,0.01,0.01,0.01,0.09,0.01,0.02,0.05,0.03,0.08,0.16,262.3,21.04,20.0,12.0
47,Joe Burrow,QB,2024.0,306.77,473.95,3713.21,20.03,9.25,23.97,171.89,2.85,1.75,3674.44,1605.62,161.16,60.94,1.98,10.08,1.69,33.11,96.35,1.42,1.96,0.54,8.26,-0.72,-0.01,0.3,0.21,-0.3,0.0,0.0,0.0,-0.31,0.39,0.0,-0.12,0.0,0.0,0.0,-0.0,0.01,0.0,220.72,212.01,12.67,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.21,229.4,18.1,42.0,28.0
48,Davis Mills,QB,2024.0,70.95,126.77,522.76,2.97,4.08,9.64,52.62,0.42,0.8,674.82,292.36,46.21,-24.88,0.38,2.56,0.27,6.87,9.95,0.38,0.34,0.25,2.96,-3.57,0.01,0.02,0.02,0.01,0.0,0.0,0.0,-0.01,0.34,0.0,-0.02,0.0,0.0,0.0,-0.0,0.0,0.0,34.48,37.66,4.74,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.07,28.38,5.99,305.5,382.0
