,player_id,name,position,age,draft_year,completions_y_pred_gbf,attempts_y_pred_gbf,passing_yards_y_pred_gbf,passing_tds_y_pred_gbf,interceptions_y_pred_gbf,sacks_y_pred_gbf,sack_yards_y_pred_gbf,sack_fumbles_y_pred_gbf,sack_fumbles_lost_y_pred_gbf,passing_air_yards_y_pred_gbf,passing_yards_after_catch_y_pred_gbf,passing_first_downs_y_pred_gbf,passing_epa_y_pred_gbf,passing_2pt_conversions_y_pred_gbf,pacr_y_pred_gbf,dakota_y_pred_gbf,carries_y_pred_gbf,rushing_yards_y_pred_gbf,rushing_tds_y_pred_gbf,rushing_fumbles_y_pred_gbf,rushing_fumbles_lost_y_pred_gbf,rushing_first_downs_y_pred_gbf,rushing_epa_y_pred_gbf,rushing_2pt_conversions_y_pred_gbf,receptions_y_pred_gbf,targets_y_pred_gbf,receiving_yards_y_pred_gbf,receiving_tds_y_pred_gbf,receiving_fumbles_y_pred_gbf,receiving_fumbles_lost_y_pred_gbf,receiving_air_yards_y_pred_gbf,receiving_yards_after_catch_y_pred_gbf,receiving_first_downs_y_pred_gbf,receiving_epa_y_pred_gbf,receiving_2pt_conversions_y_pred_gbf,racr_y_pred_gbf,target_share_y_pred_gbf,air_yards_share_y_pred_gbf,wopr_x_y_pred_gbf,special_teams_tds_y_pred_gbf,fantasy_points_y_pred_gbf,fantasy_points_ppr_y_pred_gbf,games_y_pred_gbf,tgt_sh_y_pred_gbf,ay_sh_y_pred_gbf,yac_sh_y_pred_gbf,wopr_y_y_pred_gbf,ry_sh_y_pred_gbf,rtd_sh_y_pred_gbf,rfd_sh_y_pred_gbf,rtdfd_sh_y_pred_gbf,dom_y_pred_gbf,w8dom_y_pred_gbf,yptmpa_y_pred_gbf,ppr_sh_y_pred_gbf,scrimage_yards_y_pred_gbf,scrimage_touchdowns_y_pred_gbf,fantasy_points_proj,fantasy_points_proj/G
126,00-0023459,Aaron Rodgers,QB,40,2005.0,103.86922126817586,182.38498207128728,1624.4342645508132,13.316721416490262,7.956754019969231,12.411894781455636,84.36364169870441,0.07856442306152343,0.6986460565295978,2091.572252786541,768.011950949087,70.3661705901588,-0.595132462179804,0.5251362728355474,7.933494075286137,0.838871044642552,16.45720795748879,48.86173851413666,0.6961916319472562,0.5672592971758791,0.055847135641326325,5.6636985726276645,-1.9299348853423668,0.04533946508570102,-1.3804809958420414,-1.6546475216271586,1.0205911524035878,-0.015935536191598265,0.01604193261792346,0.02949112827889712,0.45828579671847747,-5.331600588974509,0.021516813537701327,-0.32780199161730506,0.0033885668499826094,0.7819639722951175,-0.05169591637499812,0.016444946751870124,-0.02210501652612186,1.30215010354617e-09,101.28706871329432,107.80127087342734,8.632648892273997,-0.0009989430927157096,-5.367769205151197e-05,-0.0005430762061830822,-0.01050273086831871,0.0007990944698656478,0.005643006079652907,-0.00023060261311782411,-0.00018628484898000633,0.007966574071902092,0.002978649769571313,-0.006319164459224926,0.0744594693189596,49.88232966654025,0.6802560957556579,113.16408465047066,13.10884828777754
199,00-0024243,Marcedes Lewis,TE,39,2006.0,-0.6823114479912412,-2.6890045360965114,-13.722107727230451,-0.08085857710316934,-0.2548419449660805,-0.2988674784233774,-1.3671772570549223,0.0024160547193489566,-0.01734193885763962,-46.748064085161865,-8.293467412913047,-1.1508460015753237,-0.04917108514850916,-0.01451702425103651,-0.06390517156917301,-0.01312388880375853,0.21565187918509188,-2.4482924157818906,-0.04739096382950185,-0.02919416074661064,-0.0003101590966302887,0.07491257495229359,-0.17114600395132856,-0.0007705758161095087,0.5819035600613554,-0.31074904100359857,99.46403165898238,0.6985517933802952,0.35260701188612875,0.14745303512581384,27.154966353722624,51.175713837032134,3.4496416677017985,2.5877759117713643,0.19725264297062786,5.229775889287014,0.21003499194529893,-0.03862024384893525,-0.259154733579069,1.30215010354617e-09,3.6244076197665787,19.028113909016568,4.113477067286381,0.03373336436481856,-0.013210316126768352,0.05838051058036785,0.03374663201962121,0.004921074737640467,0.020765879637642617,0.030916445176270645,0.04098843443824212,0.014199793774401497,0.0256900161696906,0.0796175357312595,0.01736302070980024,97.01573924320049,0.6511608295507934,15.208974469821571,3.6973524395639275
336,00-0026158,Joe Flacco,QB,38,2008.0,56.79339712512856,46.52468939667715,620.7960735055019,2.563338897257713,2.902411841273351,5.860152464188927,41.60100007842962,1.481656479652465,0.2289315644005123,443.1989586564566,262.9404612827479,24.68292071559496,7.345853852440185,1.0854301879176522,2.6472807290361606,0.4354546929600277,3.62297648045456,8.494204557170862,-0.03923346617065941,-0.04287543101529868,0.006315448093982033,0.3284835411190456,0.07946171863528692,-0.00013389871658432264,-0.2783938693919055,0.06801099077535344,4.050969859628988,0.38811056239134706,0.10185740918259018,0.016978474491161005,-2.2471975847711314,-2.8464112296206125,-0.11079048379651818,-0.2272431748751021,0.004844391675948811,-0.08348602027843288,0.011881234529052608,0.006026372790450422,0.02868051885977779,1.30215010354617e-09,53.933322326632215,43.14511970084744,3.870751509718441,-0.0003087711364380659,0.0006587919039222866,0.0002942014403542119,0.002855684203853275,0.0010786381065865057,-0.005855406443597283,-0.0005209821330053891,-0.0006566235976434677,-0.0007556414053568221,0.0004517990579265097,-0.0058221078005203245,0.12681732759515107,12.54517441679985,0.34887709622068763,32.985489674055444,8.521727522740102
418,00-0026498,Matthew Stafford,QB,35,2009.0,340.64725378812847,529.8650379657222,3816.9560789716816,24.401615305230603,12.241062082164254,27.41899685013102,204.0331198549098,4.982655919595917,1.8338829324123969,3570.0490890715096,1971.86558745277,188.27752112501045,13.559593254766085,1.396130719306538,15.71297218995538,1.6161681501795226,23.749890559280406,59.57935220896693,2.20847805284684,1.5822568888109143,0.17659651951335903,2.2890412018828328,-3.55728949743006,0.02205318590677297,-0.5084990504705428,-0.4196895774024257,-2.648827644492566,-0.03789586489451263,-0.02728044682363612,-0.0002443672938393865,2.517170263393386,-0.9169287440802495,-0.5795019772723372,-0.47034943435741533,0.11026733114570861,-0.303833279416742,0.005338665696485399,-0.01881758203560295,-0.10086489160697557,1.30215010354617e-09,233.10226393834915,230.62719117990318,13.12858305840164,-0.00014936018335104213,-0.003442890689889287,-0.0002616104005221892,-0.001218003462443682,-0.0005385293431943827,-0.002897076834812852,-0.0016309531277061465,-0.0008028819268088808,0.0008499871925455286,-0.0006504461787978093,-0.0013585317724737187,0.1799930245393839,56.93052456447437,2.1705821879523275,239.5845745413819,18.249080915709307
437,00-0026625,Brian Hoyer,QB,38,2009.0,14.159857639433337,27.32572102249053,205.68034095569664,1.1642452419680747,0.8317572216325723,1.1036363660444064,7.194886581223803,0.6383391746080123,-0.014998789241222478,358.00833607040425,96.70924339815002,7.372596167780996,-2.5797165200429175,0.15388334265637954,1.5124282066621686,-0.013993569031542018,3.339880083468258,-3.169922034702298,0.12014706863806589,0.13115506777252542,0.0014274174596495704,0.7562728792137523,-0.6711757841389988,-0.00014385603059962666,-1.491693657215656,-2.7905616998439204,-16.361707442446644,0.024087431186138094,0.06691686025020244,0.07748545238860063,-25.02628700235674,-20.865270736003893,-1.4891743455078281,0.10152748233174638,-0.004915833669554484,0.8370581100880279,-0.10526477542900918,-0.03520926039762974,-0.08620949376454876,1.30215010354617e-09,25.555281160885144,5.206302684116445,2.5191182750153733,-0.0044962908358474685,0.0041019255191461915,0.0033324066584954474,0.0016842808321733546,-0.0015908417674923437,0.01438353377881286,-0.006495991249217657,-0.005863473683584804,0.007208102737958436,-0.002096195842995238,0.045893707969747864,0.04954661037169088,-19.531629477148943,0.14423449982420397,8.418236487046368,3.3417392785954023
681,00-0027944,Julio Jones,WR,34,2011.0,-0.01990617610789402,-0.04945462686425724,0.4355520996112949,-0.007388213272499271,-0.002362745722862612,0.0007043582056012721,-0.013833817340937082,-6.404892525824191e-05,9.14833119663853e-05,-0.10260726915916993,-1.0306851048386279,-0.05852391647217843,-0.07454282507123745,0.0025910627453397425,-0.018785549749270512,-1.631234880131576e-05,-0.298032541159667,2.3104624763063706,-0.03500699876762372,0.004781714458665065,-0.0019060099600207716,-0.013047559155780762,-0.06196462198331099,8.324793930506968e-05,12.826847256607236,22.264690853760705,132.37193494856422,0.6946184987054655,0.27041253698393886,0.06802320959242594,230.05649006431267,23.504177528680046,4.263089657408326,0.5759731711398233,0.10063517755028001,4.067773052892452,0.5860143134189956,0.6418801710051656,1.1821670410655158,1.30215010354617e-09,22.042602379564816,30.54720982070285,5.559295795321739,0.08050779916314373,0.13696191648874712,0.06046516720377611,0.2724424364021466,0.09464460498203914,0.0865680999176677,0.1013063945736712,0.11544551440551884,0.11132140710008724,0.1152768135719159,0.6886845647490102,0.05905605164227915,134.6823974248706,0.6596114999378418,25.822061737013705,4.644844003217727
689,00-0027948,Blaine Gabbert,QB,34,2011.0,16.535925851948154,28.763599176324536,187.46101619780393,1.848308594937307,1.069132547199368,2.2847027349122597,7.46615781640751,0.11811310203171925,0.12794015647185036,227.76322104298842,76.00665812702378,13.453891512993893,-3.4247433606938413,0.030376052883036214,2.980001378902496,0.009846809115917706,4.862823812557986,2.928897964345255,0.07086808052431426,0.6937229898923054,0.30955344000180635,1.2795203890848943,-1.7438580684877678,0.0015226532541826624,-1.0197456820840607,-2.039092531427807,-17.22892768798908,0.0011137435593789138,0.03099867697946866,-0.016718105981167134,-18.572810253865462,-3.6218605746641312,-1.0934158808905223,0.31744859403376496,-0.007005063801882627,-0.7800063133525853,-0.10026092597537621,-0.0521323861007794,-0.08130240478907771,1.30215010354617e-09,32.16073094124706,17.168783011377425,1.8721354610217371,-0.004422245863854204,-0.0017614678357667083,0.010958732824085913,-0.0015652386227112485,-0.0050090667336307034,-0.005915356374374209,-0.0020076425933340347,-0.005263199924913346,0.004132661943147886,-0.0033935234773034484,0.027358572251618432,0.038276522583307035,-14.300029723643826,0.07198182408369318,10.121609037221905,5.406451214645512
709,00-0027973,Andy Dalton,QB,36,2011.0,37.01779389096709,72.93527364023636,530.9427289146392,2.8682286086405897,3.1060998879649233,8.477961586766014,58.94457126273329,0.5430993023582015,0.20631708150669334,888.4660598759601,139.60692928304044,27.73223745472729,-18.17011073774812,-0.01373102355425444,3.8639947312725607,0.09960085926319419,11.549532390044957,43.293989681437274,0.42435545023982163,0.18183631290841198,0.0028883971314576508,5.486781936431535,1.3710194404585325,0.06575637040824522,-0.4352117836882589,-0.2829063481618033,5.552137984486388,0.00175531283977648,0.043929782198982185,0.00480968906502906,4.766172146399031,1.3549510292868945,0.15062198513915573,-0.18841188785296678,0.0008284553834373107,-0.3586217738261387,-0.007590406180378706,0.02300698240517493,0.018120638543377827,1.30215010354617e-09,42.411849565944785,26.95804245252706,3.902215918057356,0.0005074311363684371,-0.00014086805389562708,0.0003308463611150629,0.0028086914611307233,-0.0008906295964949053,0.01572977549536196,0.0003965362184435756,-5.6936912138642956e-05,0.0033225354626485668,0.0012533124839098134,0.0027456285514156726,0.08301396662556514,48.84612766592366,0.4261107630795981,35.53211152771886,9.105624156596607
748,00-0028002,Randall Cobb,WR,33,2011.0,-0.026690592698158946,-0.0354754163529727,-0.9053944010344083,-0.0026850758665374758,0.005325287663414168,0.0030954225316773133,0.0026541783854572712,-2.2766378883135917e-05,-0.0022316152383235026,-0.8298599726945861,-0.176506910587148,-0.009887094470557908,0.003780062869664649,0.0015275437558912941,-0.016340828736274772,-0.001655773063580984,0.2642650458424181,-1.2237004241743648,-0.007248695762210464,-0.011456472137571366,0.0004622739598360105,-0.31660006738122065,-0.02967132607934721,2.406332565272448e-05,7.736262441409287,6.214683654874469,-3.4880209844089007,0.4421972670590351,-0.01191673528145528,0.09734470296119227,119.24894443301875,10.630141226256395,0.20022859307083166,-3.455313685024148,-0.09158276256156053,15.85730911852314,0.21240210545660465,0.4893677655014285,-0.10878273162312137,1.30215010354617e-09,4.796967553604094,3.4273747922779947,2.858570096293533,0.06019140772183907,0.07835147843022888,0.05859482971929154,0.11686282833270724,0.060393954470902025,0.04957352456372515,0.056635563214368995,0.04937974499076617,0.08973634905610624,0.0753860127306733,0.5062516669987595,0.056668222950285126,-4.711721408583266,0.4349485712968246,5.638568290141583,1.9725135645449587
850,00-0028118,Tyrod Taylor,QB,34,2011.0,59.145443856031704,75.60865479578246,779.0028874974615,4.601872857579999,4.117158115220605,5.054425740474975,28.296838953539847,1.5782060484739469,0.7233785424211189,830.3666630724957,288.34736851202155,33.095770205502205,-1.4234030587110156,0.27388137624687425,3.3618996697225603,0.4462812783446378,11.31012445312947,88.59469689448862,0.547845090577754,1.2400378320980159,0.07081085064520326,5.4371338812697925,0.11931892900412637,0.007273724356153796,-1.2744562999959506,-0.754556753336323,-3.0071258236292886,0.05794330956080551,-0.00385705545937118,-0.008385923055573933,-1.383817298298113,-5.423309381817937,-0.623460939953316,0.27226289491738603,0.00561276136239284,-0.2225066810827352,-0.022795826355909914,-0.00908248848857072,-0.006240999891097975,1.30215010354617e-09,65.41940299563225,78.41738515737775,5.469309484026402,-0.0011644094206771692,0.0005084907544459244,-0.004284934912801373,0.0006466511100265523,0.0011658993103175707,-0.0012363737848571459,-0.00039500614316248295,0.0007116481656398163,-0.0037634138321676843,-7.524793704232952e-05,0.003341295730854391,0.12977666364955567,85.58757107085933,0.6057884001385595,52.25518450845001,9.554256284283392
