Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,3123843,Jowan Davis,RB,Rice,American Athletic,233,0,0.45,-0.022,-0.162,0.025,1.135,-0.079,0.466,0.095,4.951,-4.857,-22.8,1.924,14.752,-15.752,15.847
2014,502454,Josh Quezada,RB,Fresno State,Mountain West,164,0.004,0.242,-0.063,-0.217,-0.124,0.508,-0.025,0.096,0.671,8.713,-8.042,-16.279,-6.704,14.223,-3.077,3.748
2014,546705,De'Veon Smith,RB,Michigan,Big Ten,107,0.014,0.15,0.008,0.154,-0.235,0.538,0.012,0.033,1.546,0.749,0.797,8.613,-9.152,5.913,1.088,0.458
2014,504101,Michael Dyer,RB,Louisville,ACC,114,0.016,-0.168,0.024,-0.148,0.147,0.524,-0.052,0.204,1.799,-0.842,2.641,-8.272,6.596,5.764,-4.329,6.128
2014,535917,Matt Jones,RB,Florida,SEC,172,0.022,-0.201,0.048,-0.048,0.087,0.215,-0.035,0.215,3.716,-3.613,7.328,-3.846,5.335,6.441,-4.672,8.387
2014,545762,Sherman Badie,RB,Tulane,American Athletic,144,0.022,-0.063,0.044,-0.103,0.224,0.253,0.023,0.022,3.237,-1.829,5.065,-8.443,10.745,2.779,2.536,0.701
2014,505063,Joe Hill,RB,Utah State,Mountain West,120,0.028,0.607,-0.03,0.047,-0.036,0.164,-0.037,0.216,3.415,6.674,-3.259,3.233,-1.318,2.127,-3.292,6.707
2014,549759,P.J. Walker,QB,Temple,American Athletic,467,0.029,-0.004,0.181,0.029,0.09,-0.025,-0.04,0.129,13.699,-1.529,15.228,5.441,13.351,-2.941,-11.085,24.784
2014,518192,Bill Belton,RB,Penn State,Big Ten,156,0.029,0.28,-0.043,-0.037,0.065,0.192,-0.037,0.288,4.584,9.798,-5.214,-2.828,3.835,3.65,-4.626,9.21
2014,550170,Danny Etling,QB,Purdue,Big Ten,191,0.032,0.03,0.046,-0.092,-0.083,0.366,-0.03,0.121,6.097,5.121,0.976,-6.257,-5.079,21.618,-3.349,9.446
2014,546633,Wayne Gallman,RB,Clemson,ACC,178,0.038,0.055,0.035,-0.071,0.015,0.384,-0.025,0.242,6.793,1.551,5.242,-6.517,0.847,11.141,-3.357,10.149
2014,3122799,Jon Hilliman,RB,Boston College,ACC,206,0.038,0.088,0.037,-0.076,0.223,-0.082,0.049,-0.03,7.749,0.088,7.66,-9.389,14.244,-1.068,8.65,-0.901
2014,515455,Donovonn Young,RB,Illinois,Big Ten,108,0.039,-0.027,0.055,0.036,0.013,0.434,0.022,0.091,4.195,-0.559,4.755,1.722,0.606,6.081,1.822,2.374
2014,531594,Jordan Parker,RB,Middle Tennessee,Conference USA,124,0.042,0.498,-0.007,-0.177,0.227,0.667,-0.038,0.516,5.205,5.979,-0.774,-12.209,8.869,9.342,-4.077,9.282
2014,532122,Tra Carson,RB,Texas A&M,SEC,127,0.048,-0.07,0.059,-0.059,0.033,0.605,0.041,0.083,6.033,-0.775,6.807,-4.196,1.209,10.288,4.295,1.738
2014,559716,Jalen Hurd,RB,Tennessee,SEC,225,0.052,0.19,0.023,-0.035,0.086,0.335,-0.07,0.388,11.675,7.415,4.26,-4.011,6.971,9.05,-11.615,23.29
2014,545550,John O'Korn,QB,Houston,Big 12,183,0.053,0.061,-0.014,0.054,-0.045,0.309,-0.003,0.121,9.697,9.979,-0.281,3.72,-2.811,15.455,-0.328,10.025
2014,511251,Desmond Roland,RB,Oklahoma State,Big 12,189,0.058,-0.623,0.073,-0.073,0.111,0.275,0.027,0.184,10.971,-2.491,13.462,-7.262,6.561,7.984,4.18,6.791
2014,515147,Andrew McNulty,QB,North Texas,American Athletic,190,0.059,0.069,-0.007,-0.203,0.125,0.255,-0.254,0.358,11.148,11.314,-0.166,-12.359,8.38,15.271,-23.593,34.741
2014,3116756,AJ Long,QB,Syracuse,ACC,167,0.064,0.088,-0.062,-0.103,-0.002,0.298,0.08,0.045,10.639,12.312,-1.673,-5.961,-0.095,16.696,7.125,3.513
2014,514617,Kyle Pohl,QB,Akron,Mid-American,401,0.064,0.044,0.382,-0.021,0.234,0.143,-0.014,0.211,25.775,16.602,9.173,-4.063,26.949,12.401,-3.72,29.495
