Season,Id,Name,Position,Team,Conference,CountablePlays,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns
2014,517151,Cliff Murphy,TE,TCU,Big 12,5,0.429,1.462,-0.26,0.707,-0.682,0,0.429,0,2.144,2.924,-0.78,2.826,-0.682,0,2.144,0
2014,517742,Brad Pearson,WR,Texas Tech,Big 12,6,0.43,0.43,0,0.366,-0.176,1.835,0.502,0.07,2.58,2.58,0,1.098,-0.352,1.835,2.51,0.07
2014,508708,Keith Sconiers,WR,Akron,Mid-American,22,0.431,0.431,0,0.329,0.562,1.05,0.211,0.902,9.487,9.487,0,2.631,4.499,5.252,3.169,6.317
2014,513329,Cody Kessler,QB,USC,Pac-12,505,0.432,0.45,0.052,0.216,0.275,0.889,0.25,0.717,218.232,217.026,1.205,46.615,40.176,117.39,77.038,141.194
2014,547066,Ronnie Moore,WR,Bowling Green,Mid-American,108,0.432,0.431,0.437,0.337,0.516,0.821,0.229,0.716,46.636,37.027,9.61,13.489,21.69,18.889,14.435,32.201
2014,546812,Freddie Stevenson,FB,Florida State,ACC,10,0.434,0.514,-0.285,0.012,0.15,4.093,0.012,2.122,4.34,4.625,-0.285,0.096,0.15,4.093,0.096,4.243
2014,3126244,Teddy Veal,WR,Tulane,American Athletic,67,0.434,0.4,2.681,0.108,0.579,0.554,0.062,0.736,29.086,26.404,2.681,2.152,10.993,14.4,1.867,27.219
2014,545319,Cam Serigne,TE,Wake Forest,ACC,71,0.435,0.412,2.029,0.457,0.409,0.434,0.357,0.542,30.891,28.863,2.029,13.24,10.221,6.512,14.62,16.271
2014,500691,Jordan Leslie,WR,BYU,Big 12,97,0.435,0.425,0.73,0.218,0.385,1.408,0.203,1.005,42.181,39.99,2.19,11.354,10.016,21.122,14.035,28.146
2014,3126339,Blake Bone,WR,Kentucky,SEC,25,0.438,0.438,0,0.052,0.36,2.311,0.265,0.657,10.939,10.939,0,0.619,2.878,9.243,3.712,7.227
2014,547253,Marcell Ateman,WR,Oklahoma State,Big 12,31,0.439,0.439,0,0.306,0.486,0.587,0.342,0.615,13.612,13.612,0,3.673,5.829,4.11,6.846,6.766
2014,546731,Jake Butt,TE,Michigan,Big Ten,29,0.439,0.439,0,0.406,0.499,0.421,0.56,0.12,12.718,12.718,0,5.279,4.49,2.949,11.758,0.959
2014,545681,Shane Tucker,WR,Middle Tennessee,Conference USA,124,0.439,0.808,0.299,0.259,0.341,1.001,0.336,0.808,54.381,27.466,26.915,13.743,15.665,24.014,32.575,21.806
2014,545559,Kyle Bolin,QB,Louisville,ACC,86,0.44,0.433,0.534,0.203,0.117,0.917,0.274,0.659,37.829,34.622,3.206,6.698,2.927,24.759,13.444,24.385
2014,515129,Tony Rowland,RB,Middle Tennessee,Conference USA,8,0.44,0,0.44,0.315,0.649,0,0.612,-0.765,3.52,0,3.52,1.574,1.946,0,4.284,-0.765
2014,547542,Janarion Grant,WR,Rutgers,Big Ten,47,0.442,0.41,0.709,-0.216,0.359,1.262,-0.147,1.172,20.776,17.229,3.547,-3.241,3.953,22.711,-3.832,24.608
2014,503526,Jackie Williams,WR,UCF,Big 12,11,0.442,0.429,0.503,0.703,-0.121,1.327,0.368,0.572,4.864,3.857,1.007,2.813,-0.604,2.655,2.578,2.286
