Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
215,Northern Illinois,31,11,20,0.355,-8.96,-1.17,5,13,5,9,5,11,2269,2399,1255,853,1898,0.449,247,681,0.363,446,655,0.681,359,1141,457,210,77,338,581
216,Northern Iowa,33,19,14,0.576,3.96,2.99,12,8,11,3,6,8,2417,2346,1330,826,1856,0.445,266,770,0.345,428,557,0.768,246,1092,375,198,97,375,584
217,Northern Kentucky,33,18,15,0.545,-3.39,-3.46,12,8,12,3,6,11,2470,2416,1340,875,1968,0.445,254,815,0.312,412,566,0.728,373,1187,485,213,115,480,591
218,Northwestern,32,21,11,0.656,12.75,8.06,12,8,15,2,4,7,2358,2208,1300,755,1677,0.45,222,619,0.359,476,661,0.72,286,1066,447,152,119,394,537
219,Northwestern State,32,9,23,0.281,-13.97,-5.87,7,11,6,7,3,13,2257,2429,1300,840,1860,0.452,223,692,0.322,526,755,0.697,390,1212,423,230,139,429,564
220,Notre Dame,33,13,20,0.394,4.94,8.06,7,13,9,8,2,10,2113,2216,1335,806,1910,0.422,228,702,0.325,376,524,0.718,313,1129,406,212,120,328,484
221,Oakland,34,23,11,0.676,1.6,-1.9,15,5,10,3,9,7,2598,2479,1380,896,2050,0.437,283,835,0.339,404,550,0.735,348,1163,559,209,97,384,559
222,Ohio,33,20,13,0.606,0.73,-4.33,13,5,12,3,5,7,2551,2309,1335,809,1904,0.425,238,715,0.333,453,649,0.698,375,1198,363,165,117,452,560
223,Ohio State,33,20,13,0.606,14.11,8.68,9,11,13,4,2,8,2472,2293,1336,822,1935,0.425,222,638,0.348,427,602,0.709,353,1127,376,164,91,352,599
224,Oklahoma,32,20,12,0.625,15.16,8.57,8,10,14,4,3,6,2412,2201,1290,782,1855,0.422,198,662,0.299,439,578,0.76,290,1009,375,232,114,364,572
225,Oklahoma State,32,12,20,0.375,6.8,8.52,4,14,10,8,1,9,2272,2327,1295,865,1891,0.457,212,623,0.34,385,522,0.738,312,1087,396,257,99,369,530
226,Old Dominion,32,7,25,0.219,-8.02,-1.25,3,15,5,10,1,12,2268,2464,1290,825,1893,0.436,280,794,0.353,534,744,0.718,362,1295,471,193,133,415,490
227,Omaha,33,15,18,0.455,-6.98,-4.67,7,9,11,3,2,13,2441,2404,1330,839,1871,0.448,286,806,0.355,440,593,0.742,271,1115,409,177,77,373,604
228,Oral Roberts,31,12,19,0.387,-7.09,-2.26,5,11,9,5,2,13,2275,2334,1250,831,1882,0.442,258,722,0.357,414,566,0.731,344,1188,404,153,79,334,428
229,Oregon,34,23,11,0.676,12.26,8.79,12,8,13,3,6,5,2561,2443,1363,874,1928,0.453,239,695,0.344,456,632,0.722,306,1147,438,182,119,420,597
230,Oregon State,32,13,19,0.406,3.54,8.64,5,15,12,6,1,9,2204,2326,1310,816,1832,0.445,231,699,0.33,463,651,0.711,341,1092,453,204,96,371,597
231,Pacific,32,6,26,0.188,-17.19,0.08,0,16,5,12,1,13,2071,2553,1290,903,1867,0.484,261,739,0.353,486,665,0.731,324,1213,463,199,105,369,588
232,Penn State,33,16,17,0.485,9.45,7.76,9,11,13,4,2,8,2478,2422,1330,854,1888,0.452,188,620,0.303,526,686,0.767,355,1218,484,193,104,484,582
233,Pennsylvania,29,11,18,0.379,-3.07,0.53,3,11,9,6,2,10,2159,2157,1180,782,1721,0.454,268,748,0.358,325,458,0.71,268,975,439,171,89,289,431
234,Pepperdine,33,13,20,0.394,-1.93,0.91,5,11,9,8,3,8,2403,2443,1320,889,1850,0.481,219,577,0.38,446,617,0.723,265,1080,442,200,77,381,597
235,Pittsburgh,33,22,11,0.667,14.81,6.84,12,8,13,5,7,4,2495,2232,1320,793,1841,0.431,219,711,0.308,427,562,0.76,264,1100,408,165,115,366,555
236,Portland,33,12,21,0.364,-8,1.75,5,11,9,6,2,11,2360,2622,1325,970,2089,0.464,354,933,0.379,328,461,0.711,323,1193,558,205,87,301,581
237,Portland State,32,17,15,0.531,-6.69,-4.48,8,10,11,2,5,11,2302,2299,1289,818,1841,0.444,247,701,0.352,416,604,0.689,314,1182,448,184,119,419,555
238,Prairie View,31,10,21,0.323,-15.39,-6.91,5,13,5,6,4,15,2176,2368,1240,808,1708,0.473,195,561,0.348,557,792,0.703,332,1155,400,211,127,516,597
239,Presbyterian,32,14,18,0.438,-8.02,-5.47,6,10,8,7,5,9,2390,2331,1285,792,1737,0.456,212,610,0.348,535,739,0.724,289,1074,363,190,111,410,596
240,Princeton,28,24,4,0.857,6.93,-1.8,12,2,12,0,11,3,2158,1848,1120,687,1565,0.439,197,612,0.322,277,384,0.721,219,892,336,130,78,305,459
241,Providence,34,21,13,0.618,12.71,8.82,10,10,14,4,4,7,2477,2345,1375,848,2036,0.417,240,702,0.342,409,568,0.72,349,1195,371,229,101,404,592
242,Purdue,33,29,4,0.879,24.78,11.54,17,3,16,0,7,3,2752,2315,1335,864,2064,0.419,241,768,0.314,344,475,0.724,306,978,476,226,75,322,682
243,Purdue Fort Wayne,33,21,12,0.636,-0.18,-6.22,11,9,11,5,8,7,2669,2355,1330,850,1910,0.445,226,709,0.319,429,607,0.707,330,1226,431,176,98,541,553
244,Queens (NC),33,14,19,0.424,-8.48,-3.22,7,9,11,3,2,16,2643,2693,1320,985,2096,0.47,269,790,0.341,454,617,0.736,342,1242,411,212,152,384,594
245,Quinnipiac,33,24,9,0.727,-2.75,-7.15,15,5,13,3,10,5,2567,2358,1325,847,2016,0.42,251,748,0.336,413,585,0.706,331,1104,437,219,133,424,516
246,Radford,33,16,17,0.485,-5.47,-3.28,5,11,8,5,4,12,2377,2361,1335,845,1946,0.434,247,781,0.316,424,602,0.704,401,1158,394,160,86,346,501
247,Rhode Island,32,12,20,0.375,-2.06,3.07,6,12,9,8,3,8,2322,2443,1280,890,1967,0.452,277,776,0.357,386,581,0.664,326,1100,474,224,149,289,590
248,Rice,32,11,21,0.344,-2.92,2.28,5,13,6,10,5,7,2304,2421,1295,875,1941,0.451,281,748,0.376,390,525,0.743,334,1138,475,233,110,328,500
249,Richmond,32,23,9,0.719,8.27,2.02,15,3,15,1,7,5,2314,2114,1285,757,1878,0.403,240,768,0.313,360,497,0.724,316,1187,360,149,92,373,489
250,Rider,32,15,17,0.469,-5.45,-4,12,8,9,4,6,12,2309,2308,1295,794,1878,0.423,245,723,0.339,475,679,0.7,338,1112,412,243,109,368,536
251,Robert Morris,32,10,22,0.313,-9.32,-4.06,6,14,7,9,3,13,2326,2425,1300,860,1865,0.461,218,644,0.339,487,672,0.725,301,1068,437,235,85,348,496
252,Rutgers,32,15,17,0.469,7.67,8.83,7,13,12,5,3,9,2092,2129,1285,733,1798,0.408,232,709,0.327,431,616,0.7,363,1267,402,210,133,477,545
253,Sacramento State,34,10,24,0.294,-10.37,-3.21,4,14,6,8,2,13,2282,2394,1360,859,1854,0.463,251,720,0.349,425,593,0.717,264,991,447,253,102,350,574
254,Sacred Heart,32,16,16,0.5,-9.8,-9.34,10,6,11,5,4,11,2372,2313,1280,821,1888,0.435,272,771,0.353,399,591,0.675,382,1187,476,204,109,464,501
255,Saint Francis (PA),30,8,22,0.267,-18.47,-8.01,3,13,6,8,2,14,1955,2181,1205,769,1685,0.456,222,640,0.347,421,601,0.7,308,1024,400,209,124,356,497
256,Saint Joseph's,34,21,13,0.618,6.78,1.63,9,9,14,3,3,9,2569,2394,1365,846,2015,0.42,283,854,0.331,419,584,0.717,360,1187,466,230,134,412,545
257,Saint Louis,33,13,20,0.394,-1.38,4.34,5,13,8,8,3,9,2473,2620,1320,906,1965,0.461,303,830,0.365,505,697,0.725,332,1155,455,218,130,335,582
258,Saint Mary's (CA),33,26,7,0.788,16.96,3.43,15,1,14,4,9,0,2450,1938,1330,691,1748,0.395,162,514,0.315,394,552,0.714,248,908,326,174,88,358,526
259,Saint Peter's,32,19,13,0.594,-4.12,-6,12,8,8,5,8,8,2091,2030,1285,680,1643,0.414,182,566,0.322,488,698,0.699,314,1059,347,211,127,434,596
260,Sam Houston,33,21,12,0.636,-0.14,-1.49,13,3,12,2,7,9,2381,2282,1330,794,1862,0.426,230,726,0.317,464,675,0.687,317,1133,411,231,132,445,592
261,Samford,34,29,5,0.853,6.26,-3.71,15,3,18,0,8,5,2923,2514,1360,862,2010,0.429,272,804,0.338,518,753,0.688,406,1211,460,268,128,565,646
262,San Diego,33,18,15,0.545,-5.08,0.57,7,9,12,6,4,7,2392,2550,1320,885,1941,0.456,261,776,0.336,519,739,0.702,365,1237,551,247,116,439,551
263,San Diego State,34,24,10,0.706,15.31,8.47,11,7,14,1,6,8,2536,2263,1385,787,1945,0.405,245,802,0.305,444,627,0.708,337,1137,386,202,109,423,640
264,San Francisco,33,23,10,0.697,9.7,-0.08,11,5,14,2,6,5,2571,2189,1325,750,1748,0.429,220,662,0.332,469,669,0.701,254,990,361,183,64,460,499
265,San Jose State,32,9,23,0.281,-3.35,3.74,2,16,6,9,1,12,2228,2403,1290,854,1804,0.473,247,638,0.387,448,642,0.698,307,1147,465,154,91,343,460
266,Santa Clara,33,20,13,0.606,5.62,1.96,10,6,11,4,5,6,2538,2384,1325,843,1984,0.425,230,733,0.314,468,662,0.707,314,1065,411,231,83,337,585
267,Seattle,33,19,14,0.576,3.36,-1.33,11,9,14,4,4,9,2428,2223,1350,777,1886,0.412,190,639,0.297,479,683,0.701,301,1090,372,214,108,407,602
268,Seton Hall,32,20,12,0.625,11.36,8.74,13,7,14,3,5,7,2329,2245,1295,793,1873,0.423,267,789,0.338,392,514,0.763,331,1035,448,240,146,386,541
269,Siena,32,4,28,0.125,-18.93,-4.93,3,17,2,12,2,13,1934,2382,1280,880,1922,0.458,231,656,0.352,391,538,0.727,344,1100,441,291,107,318,515
270,South Alabama,32,16,16,0.5,-5.64,-3.09,8,10,11,6,5,9,2367,2421,1300,874,1948,0.449,220,694,0.317,453,655,0.692,369,1238,385,223,133,388,514
271,South Carolina,33,26,7,0.788,11.55,6.49,13,5,14,3,8,3,2377,2210,1330,797,1866,0.427,196,583,0.336,420,575,0.73,313,1079,377,190,151,322,540
272,South Carolina State,32,14,18,0.438,-11.74,-6.07,9,5,9,4,5,13,2245,2390,1290,778,1719,0.453,219,644,0.34,615,827,0.744,318,1075,443,262,120,487,590
273,South Carolina Upstate,30,10,20,0.333,-9.11,-2.77,5,11,6,7,4,12,2130,2188,1215,737,1649,0.447,189,599,0.316,525,738,0.711,333,1138,336,183,91,403,504
274,South Dakota,32,12,20,0.375,-12.22,-5.08,5,11,9,6,2,12,2434,2535,1300,930,2063,0.451,286,796,0.359,389,536,0.726,330,1102,435,212,108,281,547
275,South Dakota State,34,22,12,0.647,0.72,-3.16,12,4,11,3,6,5,2610,2408,1370,843,2022,0.417,330,955,0.346,392,526,0.745,305,1145,411,227,97,386,587
276,South Florida,31,24,7,0.774,7.39,0.62,16,2,15,2,7,4,2351,2141,1240,754,1805,0.418,211,679,0.311,422,628,0.672,354,1142,389,191,92,397,573
277,Southeast Missouri State,31,9,22,0.29,-18,-6.3,4,14,8,7,1,14,2078,2278,1245,802,1733,0.463,160,522,0.307,514,736,0.698,275,1120,387,206,104,392,508
278,Southeastern Louisiana,32,15,17,0.469,-10.87,-5.7,10,8,9,4,6,10,2209,2271,1290,800,1848,0.433,265,823,0.322,406,557,0.729,337,1074,484,227,98,382,528
279,Southern,32,18,14,0.563,-8.66,-6.01,12,6,11,2,7,11,2275,2198,1290,729,1676,0.435,193,606,0.318,547,764,0.716,291,1064,402,215,98,528,556
280,Southern California,33,15,18,0.455,9.59,9.77,8,12,9,6,3,9,2446,2452,1340,855,1981,0.432,280,768,0.365,462,626,0.738,377,1189,509,227,115,438,569
281,Southern Illinois,32,19,13,0.594,4.25,0.67,11,9,13,5,5,6,2325,2183,1300,789,1747,0.452,163,537,0.304,442,624,0.708,266,1023,350,187,115,346,563
282,SIU Edwardsville,33,17,16,0.515,-8.81,-7.27,9,9,12,2,2,13,2360,2314,1320,798,1829,0.436,249,690,0.361,469,655,0.716,321,1150,421,187,121,407,548
283,Southern Indiana,32,8,24,0.25,-13.44,-5.4,5,13,5,10,3,13,2195,2335,1285,757,1781,0.425,215,657,0.327,606,826,0.734,319,1154,385,213,105,384,597
284,Southern Methodist,32,20,12,0.625,10.69,2.5,11,7,14,3,5,7,2443,2170,1285,762,1865,0.409,213,678,0.314,433,612,0.708,368,1110,426,233,167,418,480
285,Southern Mississippi,32,16,16,0.5,-5.64,-2.64,9,9,11,3,5,9,2236,2273,1280,814,1889,0.431,226,663,0.341,419,614,0.682,349,1172,386,260,87,392,554
286,Southern Utah,31,10,21,0.323,-5.71,-1.16,5,15,6,8,3,13,2326,2406,1245,904,1894,0.477,178,522,0.341,420,590,0.712,349,1158,420,213,107,388,599
287,St. Bonaventure,33,20,13,0.606,7.04,2.22,9,9,11,4,5,6,2424,2265,1335,798,1799,0.444,245,732,0.335,424,610,0.695,304,1060,463,165,97,426,529
288,St. John's (NY),33,20,13,0.606,16.29,9.38,11,9,13,5,5,6,2602,2374,1320,824,1904,0.433,239,683,0.35,487,655,0.744,350,1106,444,209,109,426,522
289,St. Thomas,33,20,13,0.606,-0.62,-5.42,9,7,12,2,6,9,2402,2140,1325,777,1738,0.447,225,682,0.33,361,500,0.722,257,1025,382,161,79,395,532
290,Stanford,32,14,18,0.438,7.65,7.77,8,12,10,6,3,8,2443,2447,1300,913,2020,0.452,271,759,0.357,350,511,0.685,319,1140,420,222,88,358,529
291,Stephen F. Austin,33,18,15,0.545,-0.93,-1.74,10,10,10,5,5,8,2463,2353,1345,759,1792,0.424,247,665,0.371,588,816,0.721,336,1085,413,260,122,563,690
292,Stetson,34,22,12,0.647,-4.51,-3.86,11,5,14,2,6,10,2635,2475,1365,920,2098,0.439,267,799,0.334,368,516,0.713,376,1169,462,202,88,326,562
293,Stonehill,31,4,27,0.129,-20.01,-6.01,2,14,4,8,0,19,1967,2360,1245,826,1875,0.441,308,867,0.355,400,548,0.73,346,1210,499,244,129,367,438
294,Stony Brook,35,20,15,0.571,-2.44,-2.47,10,8,13,3,4,11,2573,2531,1430,908,2148,0.423,313,901,0.347,402,580,0.693,384,1299,519,210,87,370,542
295,Syracuse,32,20,12,0.625,8.32,9.19,11,9,14,2,4,7,2442,2420,1280,899,1964,0.458,250,732,0.342,372,511,0.728,360,1203,456,200,93,463,512
296,Tarleton State,32,23,9,0.719,0.79,-0.55,16,4,11,3,10,5,2353,2199,1285,775,1774,0.437,214,646,0.331,435,631,0.689,359,1115,381,179,120,461,543
297,TCU,33,21,12,0.636,15.67,7.67,9,9,12,4,6,5,2615,2351,1340,834,1872,0.446,216,659,0.328,467,668,0.699,324,1073,470,223,123,492,586
298,Temple,35,16,19,0.457,-0.69,1.87,5,13,5,9,5,7,2482,2539,1430,881,2022,0.436,251,788,0.319,526,723,0.728,365,1364,477,200,129,422,576
299,Tennessee,32,24,8,0.75,21.8,10.2,14,4,14,2,8,3,2543,2172,1280,728,1870,0.389,243,774,0.314,473,669,0.707,347,1127,360,211,93,427,585
300,Tennessee State,33,18,15,0.545,-9.41,-7.41,10,8,11,3,5,10,2400,2343,1325,790,1873,0.422,208,632,0.329,555,767,0.724,372,1173,379,228,126,443,582
301,Tennessee Tech,31,10,21,0.323,-14.79,-6.04,5,13,7,8,3,13,2089,2289,1250,857,1867,0.459,243,690,0.352,332,427,0.778,288,1113,465,212,100,323,483
302,Tennessee-Martin,32,21,11,0.656,-5.34,-7.02,14,4,12,2,9,7,2609,2455,1290,904,2170,0.417,288,886,0.325,359,499,0.719,346,1220,454,216,130,340,558
303,Texas,32,20,12,0.625,16.05,9.4,9,9,14,4,4,6,2449,2236,1285,787,1817,0.433,205,588,0.349,457,636,0.719,335,1074,373,203,110,407,521
304,Texas A&M,34,20,14,0.588,13.06,9.09,9,9,10,5,6,6,2543,2408,1365,837,1970,0.425,300,884,0.339,434,614,0.707,337,1149,501,180,181,389,665
305,Texas A&M-Commerce,33,13,20,0.394,-14.02,-4.68,6,12,8,7,4,12,2361,2462,1365,871,1906,0.457,201,581,0.346,519,731,0.71,361,1281,434,187,115,447,492
306,Texas A&M-Corpus Christi,32,21,11,0.656,-3.66,-6.91,14,4,13,2,8,7,2417,2127,1295,686,1700,0.404,187,622,0.301,568,798,0.712,272,1071,344,221,130,480,589
307,Texas Southern,32,16,16,0.5,-9.07,-7.3,12,6,7,4,6,10,2245,2264,1285,769,1818,0.423,214,661,0.324,512,723,0.708,347,1161,405,215,109,409,523
308,Texas State,35,17,18,0.486,-3.39,-0.42,7,11,9,4,5,11,2445,2452,1410,853,1954,0.437,220,687,0.32,526,724,0.727,354,1182,406,266,134,453,621
309,Texas Tech,33,23,10,0.697,15.98,9.74,11,7,15,2,4,6,2494,2288,1325,837,1956,0.428,245,763,0.321,369,520,0.71,361,1115,392,194,112,379,567
310,Texas-Rio Grande Valley,31,6,25,0.194,-13.34,-0.86,2,18,5,9,1,14,2181,2473,1250,890,1898,0.469,221,638,0.346,472,644,0.733,350,1223,539,229,139,448,589
311,The Citadel,32,11,21,0.344,-6.43,-2.81,3,15,7,7,2,13,2260,2289,1285,860,1878,0.458,263,749,0.351,306,420,0.729,281,1034,467,210,125,354,546
312,Toledo,32,20,12,0.625,2,-1.87,14,4,12,3,8,5,2560,2436,1290,916,1909,0.48,242,710,0.341,362,500,0.724,307,1076,434,191,137,418,577
313,Towson,34,20,14,0.588,0.4,-2.06,11,7,12,2,6,6,2296,2164,1375,770,1833,0.42,222,676,0.328,402,578,0.696,311,1050,365,214,114,375,539
314,Troy,32,20,12,0.625,1.5,-2.91,13,5,15,2,5,9,2546,2261,1300,777,1815,0.428,213,609,0.35,494,707,0.699,338,1097,345,259,129,496,587
315,Tulane,31,14,17,0.452,3.96,2.99,5,13,11,6,2,8,2540,2481,1260,869,1999,0.435,292,838,0.348,451,633,0.712,388,1222,500,210,114,401,608
316,Tulsa,31,16,15,0.516,-0.91,-0.71,7,11,14,4,2,9,2325,2290,1255,800,1872,0.427,233,721,0.323,457,659,0.693,357,1175,419,219,74,402,578
317,UAB,33,22,11,0.667,4.91,3.78,12,6,12,5,7,5,2561,2489,1340,894,2006,0.446,258,740,0.349,443,618,0.717,372,1143,436,230,134,376,616
318,UC Davis,33,20,13,0.606,-0.93,-2.45,14,6,10,6,8,6,2351,2246,1330,777,1803,0.431,192,601,0.319,500,684,0.731,338,1115,375,224,93,481,619
319,UC Irvine,33,24,9,0.727,7.3,-1.04,17,3,13,0,8,8,2564,2237,1330,785,1926,0.408,192,585,0.328,475,666,0.713,338,1084,376,192,116,410,589
320,UC Riverside,34,16,18,0.471,-3.93,-0.9,10,10,10,5,4,12,2404,2448,1366,877,1901,0.461,225,632,0.356,469,652,0.719,279,1209,458,154,122,377,581
321,UC San Diego,32,21,11,0.656,2.81,-2.26,15,5,14,2,7,8,2455,2213,1295,811,1854,0.437,221,663,0.333,370,520,0.712,306,1096,400,143,114,373,555
322,UC Santa Barbara,31,16,15,0.516,-2.8,-2.63,9,11,9,7,6,7,2337,2280,1250,848,1871,0.453,208,636,0.327,376,554,0.679,292,993,382,214,81,310,564
323,UCF,32,17,15,0.531,12.8,8.74,7,11,11,7,3,7,2289,2159,1285,717,1752,0.409,229,688,0.333,496,683,0.726,304,1106,417,219,111,452,577
324,UCLA,33,16,17,0.485,7.73,8.08,10,10,9,7,5,6,2177,2160,1320,741,1747,0.424,249,748,0.333,429,616,0.696,299,1074,372,182,86,388,607
325,UNC Asheville,34,22,12,0.647,-1.68,-2.74,12,4,12,2,5,7,2682,2485,1375,884,2054,0.43,240,745,0.322,477,672,0.71,387,1204,418,210,104,434,677
326,UNC Greensboro,32,21,11,0.656,-0.1,-2.73,12,6,11,3,7,7,2422,2233,1290,749,1826,0.41,266,803,0.331,469,635,0.739,330,1083,358,185,85,371,511
327,UNC Wilmington,31,21,10,0.677,1.44,-2.66,12,6,10,2,10,6,2461,2202,1260,792,1762,0.449,226,645,0.35,392,560,0.7,321,1076,344,124,84,383,559
328,UT Arlington,34,20,14,0.588,2.4,0.72,13,7,12,3,5,10,2614,2492,1365,828,1961,0.422,240,691,0.347,596,805,0.74,358,1143,455,256,121,465,666
329,Utah,33,19,14,0.576,14.99,9.57,9,11,14,2,2,9,2576,2397,1335,883,2083,0.424,257,756,0.34,374,546,0.685,337,1198,456,215,102,341,550
330,Utah State,33,27,6,0.818,12.17,4.75,14,4,14,1,8,4,2633,2319,1340,844,1935,0.436,203,710,0.286,428,589,0.727,296,1067,414,212,75,394,622
331,Utah Tech,31,11,20,0.355,-8.08,-1.18,7,13,6,7,5,13,2194,2389,1250,802,1819,0.441,227,670,0.339,558,769,0.726,351,1126,420,272,112,416,607
332,Utah Valley,32,16,16,0.5,-1.34,-0.04,11,9,10,4,5,10,2199,2195,1290,774,1834,0.422,202,629,0.321,445,641,0.694,308,1148,448,225,118,409,577
333,UTEP,34,18,16,0.529,-1.28,-1.09,7,9,13,5,2,9,2470,2348,1370,798,1768,0.451,194,608,0.319,558,792,0.705,336,1170,374,255,123,636,660
334,UTSA,32,11,21,0.344,-4.94,-0.39,5,13,7,9,4,11,2483,2591,1300,908,2032,0.447,280,761,0.368,495,699,0.708,348,1221,477,195,144,303,568
335,Valparaiso,32,7,25,0.219,-8.16,1.26,3,17,6,11,1,13,2163,2416,1280,893,1870,0.478,234,661,0.354,396,571,0.694,322,1233,487,205,80,396,491
336,Vanderbilt,32,9,23,0.281,0.46,8.43,4,14,8,10,1,9,2173,2428,1285,858,1881,0.456,278,744,0.374,434,555,0.782,314,1189,473,181,112,347,558
337,Vermont,34,28,6,0.824,2.92,-3.89,15,1,16,1,10,4,2459,2141,1365,786,1937,0.406,217,692,0.314,352,492,0.715,280,1145,334,171,108,342,516
338,Villanova,33,18,15,0.545,14.79,9.76,10,10,10,5,4,8,2327,2161,1350,765,1872,0.409,275,842,0.327,356,485,0.734,281,1123,435,181,131,349,468
339,Virginia,33,23,10,0.697,11,7,13,7,15,2,5,6,2098,1966,1335,706,1758,0.402,213,701,0.304,339,452,0.75,310,1138,368,169,107,395,429
340,Virginia Commonwealth,34,22,12,0.647,9,3.85,11,7,13,6,5,4,2452,2277,1370,779,1906,0.409,229,730,0.314,490,662,0.74,318,1105,369,237,81,377,587
341,VMI,32,4,28,0.125,-20.43,-2.23,1,17,4,10,0,15,2204,2644,1285,969,2092,0.463,293,821,0.357,413,628,0.658,361,1250,491,292,101,375,507
342,Virginia Tech,32,18,14,0.563,11.78,7.85,10,10,14,2,2,9,2400,2274,1280,832,1821,0.457,213,619,0.344,397,546,0.727,280,1016,407,205,95,371,537
343,Wagner,31,16,15,0.516,-10.86,-9.51,7,9,7,5,9,10,1970,1925,1255,698,1669,0.418,202,685,0.295,327,485,0.674,276,1083,417,149,102,350,437
344,Wake Forest,33,20,13,0.606,15.17,7.45,11,9,16,1,2,9,2580,2325,1330,832,1927,0.432,219,671,0.326,442,591,0.748,301,1073,352,198,113,371,576
345,Washington,32,17,15,0.531,12.08,8.61,9,11,11,6,5,6,2579,2468,1305,886,2003,0.442,235,698,0.337,461,663,0.695,346,1157,455,206,111,371,590
346,Washington State,33,24,9,0.727,14.28,6.86,14,6,15,2,6,4,2452,2207,1330,786,1863,0.422,188,587,0.32,447,608,0.735,289,1043,348,185,87,351,561
347,Weber State,32,20,12,0.625,-0.01,-3.67,11,7,12,2,7,7,2414,2161,1290,799,1743,0.458,220,636,0.346,343,485,0.707,235,1029,409,163,87,405,562
348,West Virginia,32,9,23,0.281,4.25,11.28,4,14,9,9,0,9,2234,2459,1290,878,1969,0.446,296,846,0.35,407,553,0.736,343,1147,498,242,124,332,586
349,Western Carolina,32,22,10,0.688,2.14,-3.17,11,7,12,3,10,6,2459,2198,1295,789,1934,0.408,201,612,0.328,419,595,0.704,305,1107,286,168,88,311,521
350,Western Illinois,33,21,12,0.636,-8.46,-7.08,13,5,10,5,10,6,2272,2167,1330,819,2018,0.406,186,626,0.297,343,475,0.722,346,1121,354,244,107,334,573
351,Western Kentucky,33,22,11,0.667,1.44,-3.4,8,8,12,2,6,7,2659,2444,1321,856,2075,0.413,266,841,0.316,466,672,0.693,350,1206,421,238,136,470,599
352,Western Michigan,32,12,20,0.375,-9.06,-3.54,9,9,7,7,3,12,2281,2396,1295,857,1930,0.444,251,736,0.341,431,597,0.722,342,1128,440,221,72,352,564
353,Wichita State,34,15,19,0.441,2.33,3.51,5,13,10,5,2,10,2475,2484,1370,895,2126,0.421,264,809,0.326,430,590,0.729,372,1207,471,271,133,348,494
354,William & Mary,33,10,23,0.303,-11.13,-5.35,4,14,7,7,2,13,2305,2380,1325,840,1890,0.444,230,695,0.331,470,639,0.736,321,1192,387,190,128,323,556
355,Winthrop,32,17,15,0.531,-1.79,-3.23,8,8,11,5,6,9,2475,2287,1310,785,1864,0.421,251,794,0.316,466,618,0.754,356,1088,384,218,125,426,702
356,Wisconsin,34,22,12,0.647,16.89,11.45,11,9,14,3,3,9,2540,2355,1375,843,1848,0.456,236,635,0.372,433,603,0.718,256,1039,398,165,135,385,619
357,Wofford,32,17,15,0.531,-3.71,-1.43,10,8,11,2,6,9,2384,2362,1300,812,1875,0.433,280,800,0.35,458,615,0.745,278,1057,407,209,88,305,527
358,Wright State,32,18,14,0.563,0.01,-3.39,13,7,9,7,7,6,2767,2599,1295,953,2011,0.474,274,760,0.361,419,587,0.714,318,1041,429,235,85,390,574
359,Wyoming,32,15,17,0.469,0.97,5,8,10,9,5,3,10,2331,2383,1290,868,1914,0.454,262,767,0.342,385,519,0.742,322,1069,421,261,123,360,622
360,Xavier,33,16,17,0.485,12.25,10.95,9,11,11,7,3,8,2503,2460,1320,889,2038,0.436,244,731,0.334,438,612,0.716,352,1185,534,203,161,381,588
361,Yale,30,21,9,0.7,5.05,-0.52,11,3,9,2,9,6,2268,2004,1220,709,1710,0.415,238,712,0.334,348,469,0.742,250,968,411,165,102,330,480
362,Youngstown State,32,22,10,0.688,1.21,-4.86,14,6,14,3,8,7,2598,2269,1290,821,1966,0.418,240,722,0.332,387,555,0.697,336,1097,450,191,92,383,546
