Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
126,Iowa State,34,27,7,0.794,23.02,8.76,13,5,18,0,5,5,2569,2084,1360,699,1748,0.4,248,787,0.315,438,615,0.712,329,1125,411,209,118,596,627
127,IUPUI,32,6,26,0.188,-21.09,-4.4,2,18,4,10,2,14,2108,2554,1285,927,1828,0.507,258,685,0.377,442,610,0.725,337,1064,513,235,102,432,534
128,Jackson State,32,15,17,0.469,-11.48,-7.14,11,7,6,2,7,13,2279,2418,1285,849,1862,0.456,260,738,0.352,460,642,0.717,350,1129,466,234,122,427,559
129,Jacksonville,33,16,17,0.485,-9.52,-4.55,5,11,11,3,4,14,2371,2389,1325,811,1853,0.438,255,738,0.346,512,723,0.708,335,1059,411,235,112,417,583
130,Jacksonville State,32,14,18,0.438,-3.3,-2.88,6,10,8,7,5,10,2240,2126,1285,752,1735,0.433,209,619,0.338,413,588,0.702,262,983,348,226,99,401,564
131,James Madison,34,31,3,0.912,8.68,-4.81,15,3,14,1,12,2,2868,2352,1375,826,1998,0.413,203,704,0.288,497,680,0.731,338,1148,350,196,116,491,586
132,Kansas,32,22,10,0.688,17.63,11.73,10,8,15,1,3,7,2408,2198,1285,777,1924,0.404,265,797,0.332,379,541,0.701,316,1074,396,222,88,378,517
133,Kansas City,32,16,16,0.5,-4.98,-4.16,10,6,10,3,6,9,2300,2217,1300,746,1705,0.438,204,637,0.32,521,734,0.71,276,1034,370,189,83,405,554
134,Kansas State,33,19,14,0.576,11.82,10.43,8,10,15,3,2,8,2372,2326,1355,820,2008,0.408,226,736,0.307,460,654,0.703,382,1141,430,275,118,368,608
135,Kennesaw State,31,15,16,0.484,-7.7,-5.52,6,10,9,5,4,11,2568,2504,1250,841,1916,0.439,259,742,0.349,563,782,0.72,345,1201,401,217,138,418,601
136,Kent State,34,17,17,0.5,-0.51,-2.29,8,10,9,6,4,9,2544,2424,1385,850,1901,0.447,247,757,0.326,477,656,0.727,323,1132,430,216,105,450,590
137,Kentucky,32,23,9,0.719,17.63,7.88,13,5,14,4,7,3,2862,2550,1295,891,2075,0.429,270,828,0.326,498,692,0.72,384,1175,463,206,115,384,544
138,La Salle,33,16,17,0.485,-1.41,1.06,6,12,11,6,3,10,2398,2411,1340,866,1942,0.446,223,633,0.352,456,636,0.717,351,1235,443,165,118,357,504
139,Lafayette,32,11,21,0.344,-10.93,-5.77,10,8,5,10,6,9,2010,2154,1300,752,1801,0.418,237,692,0.342,413,559,0.739,323,1184,387,201,99,376,471
