School,NCAA Tournament?,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Wagner,Y,31,16,15,0.516,-10.86,-9.51,7,9,7,5,9,10,1970,1925,1255,706,1800,0.392,223,692,0.322,335,472,0.71,358,1131,397,185,69,310,478
Wake Forest,N,33,20,13,0.606,15.17,7.45,11,9,16,1,2,9,2580,2325,1330,915,1920,0.477,269,724,0.372,481,605,0.795,275,1122,412,195,136,358,513
Washington,N,32,17,15,0.531,12.08,8.61,9,11,11,6,5,6,2579,2468,1305,931,1980,0.47,258,728,0.354,459,636,0.722,301,1151,482,184,118,374,585
Washington State,Y,33,24,9,0.727,14.28,6.86,14,6,15,2,6,4,2452,2207,1330,905,1940,0.466,211,621,0.34,431,615,0.701,370,1244,414,173,160,357,553
Weber State,N,32,20,12,0.625,-0.01,-3.67,11,7,12,2,7,7,2414,2161,1290,843,1797,0.469,251,721,0.348,477,637,0.749,248,1025,390,221,53,316,495
West Virginia,N,32,9,23,0.281,4.25,11.28,4,14,9,9,0,9,2234,2459,1290,767,1784,0.43,233,667,0.349,467,662,0.705,293,1080,417,139,114,405,487
Western Carolina,N,32,22,10,0.688,2.14,-3.17,11,7,12,3,10,6,2459,2198,1295,902,1963,0.46,261,713,0.366,394,553,0.712,335,1269,367,141,103,330,536
Western Illinois,N,33,21,12,0.636,-8.46,-7.08,13,5,10,5,10,6,2272,2167,1330,826,1936,0.427,195,611,0.319,425,691,0.615,482,1397,421,173,185,436,470
Western Kentucky,Y,33,22,11,0.667,1.44,-3.4,8,8,12,2,6,7,2659,2444,1321,968,2069,0.468,225,662,0.34,498,693,0.719,347,1314,437,255,106,452,610
Western Michigan,N,32,12,20,0.375,-9.06,-3.54,9,9,7,7,3,12,2281,2396,1295,828,1912,0.433,253,747,0.339,372,595,0.625,402,1212,418,169,87,428,550
Wichita State,N,34,15,19,0.441,2.33,3.51,5,13,10,5,2,10,2475,2484,1370,935,2091,0.447,220,660,0.333,385,552,0.697,396,1339,413,213,142,419,522
William & Mary,N,33,10,23,0.303,-11.13,-5.35,4,14,7,7,2,13,2305,2380,1325,787,1910,0.412,296,916,0.323,435,620,0.702,341,1161,407,156,56,357,560
Winthrop,N,32,17,15,0.531,-1.79,-3.23,8,8,11,5,6,9,2475,2287,1310,818,1763,0.464,238,697,0.341,601,856,0.702,341,1134,380,201,89,415,570
Wisconsin,Y,34,22,12,0.647,16.89,11.45,11,9,14,3,3,9,2540,2355,1375,903,1952,0.463,241,693,0.348,493,653,0.755,341,1158,428,211,55,332,555
Wofford,N,32,17,15,0.531,-3.71,-1.43,10,8,11,2,6,9,2384,2362,1300,874,1905,0.459,306,852,0.359,330,532,0.62,337,1190,494,142,86,373,522
Wright State,N,32,18,14,0.563,0.01,-3.39,13,7,9,7,7,6,2767,2599,1295,1033,1948,0.53,218,569,0.383,483,638,0.757,290,1111,529,200,90,379,499
Wyoming,N,32,15,17,0.469,0.97,5,8,10,9,5,3,10,2331,2383,1290,791,1755,0.451,241,648,0.372,508,686,0.741,307,1103,374,165,80,408,500
Xavier,N,33,16,17,0.485,12.25,10.95,9,11,11,7,3,8,2503,2460,1320,895,2056,0.435,224,658,0.34,489,657,0.744,393,1257,536,231,110,381,556
Yale,Y,30,21,9,0.7,5.05,-0.52,11,3,9,2,9,6,2268,2004,1220,850,1799,0.472,218,626,0.348,350,491,0.713,299,1109,454,181,96,285,451
Youngstown State,N,32,22,10,0.688,1.21,-4.86,14,6,14,3,8,7,2598,2269,1290,931,2064,0.451,282,872,0.323,454,589,0.771,409,1279,490,198,156,353,520
